bank_account,location_type,age_of_respondent,education_level,job_type
No,Rural,30,Secondary education,Farming and Fishing
No,Rural,38,Primary education,Informally employed
No,Rural,28,Primary education,Farming and Fishing
No,Rural,50,Primary education,Informally employed
Yes,Urban,40,Primary education,Formally employed Private
No,Urban,62,Primary education,Informally employed
No,Rural,40,Primary education,Farming and Fishing
No,Rural,44,Primary education,Self employed
No,Rural,25,Primary education,Self employed
No,Rural,59,Primary education,Farming and Fishing
Yes,Urban,36,Secondary education,Self employed
No,Rural,60,No formal education,Farming and Fishing
Yes,Rural,42,No formal education,Formally employed Private
No,Rural,56,No formal education,Self employed
No,Urban,37,Primary education,Remittance Dependent
No,Rural,28,Secondary education,Remittance Dependent
No,Rural,50,Primary education,Farming and Fishing
No,Urban,55,Secondary education,Formally employed Private
No,Rural,65,Primary education,Farming and Fishing
No,Rural,48,Primary education,Farming and Fishing
No,Urban,65,Primary education,Remittance Dependent
No,Rural,55,Primary education,Informally employed
No,Rural,31,Secondary education,Farming and Fishing
No,Rural,55,No formal education,Remittance Dependent
No,Urban,44,Primary education,Informally employed
No,Rural,72,Primary education,Farming and Fishing
No,Urban,18,Secondary education,Informally employed
No,Rural,26,Secondary education,Remittance Dependent
No,Rural,53,Primary education,Informally employed
No,Rural,28,Primary education,Informally employed
No,Urban,34,Tertiary education,Informally employed
No,Rural,55,No formal education,Farming and Fishing
No,Urban,48,Vocational/Specialised training,Informally employed
No,Rural,50,Primary education,Informally employed
Yes,Rural,65,Secondary education,Farming and Fishing
Yes,Urban,53,Secondary education,Farming and Fishing
No,Rural,45,No formal education,Farming and Fishing
No,Urban,29,Primary education,Informally employed
Yes,Urban,36,Vocational/Specialised training,Formally employed Private
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,18,Secondary education,Remittance Dependent
Yes,Urban,33,Primary education,Self employed
No,Urban,25,Primary education,Remittance Dependent
Yes,Urban,30,Vocational/Specialised training,Formally employed Government
Yes,Urban,48,Secondary education,Farming and Fishing
Yes,Rural,80,No formal education,Farming and Fishing
No,Urban,42,Primary education,Farming and Fishing
No,Rural,69,No formal education,Self employed
No,Urban,23,Secondary education,Self employed
No,Rural,67,Primary education,Informally employed
No,Rural,58,Primary education,Farming and Fishing
No,Rural,27,Secondary education,Farming and Fishing
Yes,Rural,42,Primary education,Farming and Fishing
No,Rural,80,No formal education,Government Dependent
No,Rural,95,No formal education,Informally employed
No,Rural,26,Secondary education,Informally employed
No,Urban,38,Vocational/Specialised training,Remittance Dependent
No,Urban,64,Secondary education,Informally employed
No,Urban,16,Secondary education,Remittance Dependent
No,Urban,49,Secondary education,Farming and Fishing
No,Rural,33,No formal education,Self employed
No,Urban,35,Secondary education,Self employed
Yes,Urban,28,Tertiary education,Formally employed Private
No,Urban,38,Secondary education,Formally employed Private
No,Rural,29,No formal education,Self employed
No,Rural,26,Primary education,Informally employed
No,Rural,17,Secondary education,Remittance Dependent
No,Rural,36,Primary education,Informally employed
Yes,Urban,28,Secondary education,Self employed
No,Urban,22,Secondary education,Dont Know/Refuse to answer
No,Urban,65,Primary education,Remittance Dependent
No,Urban,54,Primary education,Farming and Fishing
Yes,Rural,66,Secondary education,Farming and Fishing
No,Urban,54,Primary education,Informally employed
No,Rural,70,No formal education,Farming and Fishing
No,Rural,44,Secondary education,Informally employed
No,Urban,22,Secondary education,Informally employed
Yes,Rural,53,Tertiary education,Farming and Fishing
No,Rural,28,Primary education,Informally employed
No,Rural,42,Primary education,Farming and Fishing
No,Rural,24,Primary education,Farming and Fishing
Yes,Urban,40,Vocational/Specialised training,Formally employed Private
No,Rural,33,Secondary education,Self employed
No,Rural,60,Primary education,Farming and Fishing
No,Rural,40,Primary education,Formally employed Private
No,Rural,17,Secondary education,Remittance Dependent
No,Rural,30,Primary education,Self employed
No,Urban,16,Secondary education,Remittance Dependent
No,Rural,19,No formal education,Farming and Fishing
Yes,Rural,54,Secondary education,Self employed
Yes,Rural,33,Tertiary education,Farming and Fishing
No,Urban,29,Secondary education,Remittance Dependent
No,Rural,71,Primary education,Farming and Fishing
No,Urban,26,Primary education,Informally employed
No,Rural,23,Primary education,Farming and Fishing
Yes,Urban,27,Tertiary education,Informally employed
No,Rural,23,Primary education,Informally employed
Yes,Urban,47,Secondary education,Farming and Fishing
No,Rural,40,No formal education,Farming and Fishing
No,Urban,17,Secondary education,Remittance Dependent
No,Rural,42,Primary education,Farming and Fishing
No,Rural,54,Primary education,Farming and Fishing
No,Rural,33,Primary education,Remittance Dependent
No,Rural,52,Primary education,Informally employed
No,Rural,57,No formal education,Farming and Fishing
No,Rural,42,Primary education,Self employed
No,Rural,24,Primary education,Formally employed Private
No,Rural,32,Primary education,Informally employed
No,Rural,55,Primary education,Farming and Fishing
No,Rural,66,Primary education,Farming and Fishing
No,Urban,49,Primary education,Self employed
No,Rural,25,Secondary education,Informally employed
No,Rural,34,Secondary education,Farming and Fishing
No,Urban,85,Primary education,Remittance Dependent
No,Rural,31,Secondary education,Informally employed
No,Rural,32,No formal education,Farming and Fishing
No,Rural,65,No formal education,Farming and Fishing
No,Urban,30,Primary education,Remittance Dependent
No,Rural,46,Secondary education,Self employed
No,Urban,29,Secondary education,Informally employed
Yes,Urban,33,Secondary education,Remittance Dependent
Yes,Urban,29,Tertiary education,Self employed
No,Rural,28,Primary education,Informally employed
Yes,Urban,30,Tertiary education,Self employed
No,Rural,43,No formal education,Informally employed
No,Rural,21,Primary education,Informally employed
No,Rural,16,Primary education,Other Income
No,Rural,56,No formal education,Informally employed
Yes,Urban,44,Secondary education,Remittance Dependent
No,Rural,57,Primary education,Self employed
No,Rural,38,Primary education,Informally employed
No,Urban,30,Primary education,Remittance Dependent
No,Rural,46,No formal education,Farming and Fishing
No,Rural,29,Primary education,Self employed
No,Urban,24,Tertiary education,Remittance Dependent
No,Urban,32,Primary education,Informally employed
No,Rural,57,Primary education,Informally employed
No,Urban,69,Primary education,Formally employed Private
No,Rural,80,No formal education,Farming and Fishing
No,Urban,31,Primary education,Remittance Dependent
No,Rural,35,No formal education,Farming and Fishing
No,Urban,52,No formal education,Informally employed
No,Urban,26,Vocational/Specialised training,Farming and Fishing
No,Urban,35,Secondary education,Farming and Fishing
Yes,Rural,42,Secondary education,Formally employed Government
No,Rural,68,Primary education,Farming and Fishing
No,Rural,55,Primary education,Farming and Fishing
No,Rural,35,Primary education,Remittance Dependent
No,Urban,27,Primary education,Self employed
Yes,Rural,25,Primary education,Farming and Fishing
No,Rural,56,Primary education,Farming and Fishing
No,Rural,30,Primary education,Informally employed
Yes,Urban,23,Tertiary education,Informally employed
Yes,Urban,40,Tertiary education,Formally employed Private
Yes,Urban,32,Secondary education,Formally employed Private
Yes,Rural,45,Vocational/Specialised training,Formally employed Government
No,Rural,16,Primary education,Remittance Dependent
No,Rural,47,Primary education,Informally employed
Yes,Urban,63,Secondary education,Self employed
No,Urban,47,Primary education,Self employed
Yes,Urban,24,Secondary education,Formally employed Government
Yes,Rural,45,Secondary education,Farming and Fishing
No,Rural,41,No formal education,Farming and Fishing
Yes,Urban,22,No formal education,Remittance Dependent
No,Rural,49,Primary education,Informally employed
Yes,Rural,42,No formal education,Farming and Fishing
No,Urban,28,Primary education,Self employed
No,Rural,19,Primary education,Remittance Dependent
No,Rural,57,Secondary education,Farming and Fishing
No,Rural,68,Primary education,Informally employed
No,Urban,70,No formal education,Other Income
No,Rural,63,No formal education,Farming and Fishing
Yes,Rural,24,Primary education,Self employed
No,Urban,48,Primary education,Farming and Fishing
No,Rural,43,No formal education,Farming and Fishing
No,Rural,31,No formal education,Farming and Fishing
Yes,Urban,48,Vocational/Specialised training,Formally employed Government
No,Urban,58,No formal education,Remittance Dependent
No,Urban,44,Vocational/Specialised training,Remittance Dependent
No,Urban,25,Primary education,Formally employed Private
No,Rural,61,No formal education,Farming and Fishing
No,Rural,50,No formal education,Farming and Fishing
No,Rural,52,No formal education,Informally employed
No,Rural,72,Primary education,Farming and Fishing
Yes,Rural,31,No formal education,Farming and Fishing
No,Rural,95,Primary education,Farming and Fishing
No,Rural,75,No formal education,Remittance Dependent
Yes,Urban,31,Vocational/Specialised training,Formally employed Government
No,Urban,23,Primary education,Informally employed
No,Rural,72,No formal education,Remittance Dependent
Yes,Urban,46,Tertiary education,Formally employed Government
No,Rural,34,Secondary education,Informally employed
No,Rural,27,Secondary education,Farming and Fishing
No,Urban,23,Secondary education,Self employed
No,Rural,31,Primary education,Farming and Fishing
Yes,Urban,27,Secondary education,Self employed
No,Rural,24,Primary education,Farming and Fishing
Yes,Urban,45,Secondary education,Formally employed Government
Yes,Urban,29,Tertiary education,Formally employed Private
No,Urban,18,Secondary education,Remittance Dependent
No,Rural,67,No formal education,Farming and Fishing
No,Rural,71,Secondary education,Informally employed
Yes,Urban,44,Secondary education,Formally employed Government
Yes,Rural,23,Tertiary education,Farming and Fishing
No,Rural,55,Secondary education,Remittance Dependent
No,Rural,20,Vocational/Specialised training,Remittance Dependent
No,Urban,37,Secondary education,Informally employed
No,Urban,26,Primary education,Formally employed Private
No,Rural,17,Secondary education,Remittance Dependent
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,72,No formal education,Farming and Fishing
No,Rural,86,Primary education,Remittance Dependent
No,Rural,22,Secondary education,Informally employed
No,Rural,28,Vocational/Specialised training,Formally employed Private
No,Rural,71,Primary education,Farming and Fishing
No,Rural,95,Primary education,Other Income
No,Rural,68,No formal education,Farming and Fishing
No,Urban,33,No formal education,Remittance Dependent
No,Rural,23,Secondary education,Remittance Dependent
No,Rural,72,Secondary education,Remittance Dependent
Yes,Urban,23,Vocational/Specialised training,Remittance Dependent
Yes,Rural,43,Tertiary education,Farming and Fishing
No,Rural,50,Primary education,Informally employed
No,Urban,23,Tertiary education,Remittance Dependent
No,Rural,31,Primary education,Self employed
Yes,Rural,17,Secondary education,Farming and Fishing
No,Rural,42,Secondary education,Farming and Fishing
No,Urban,24,Primary education,Farming and Fishing
Yes,Urban,37,Secondary education,Self employed
No,Rural,57,Primary education,Self employed
No,Urban,17,Primary education,Remittance Dependent
No,Rural,52,Primary education,Informally employed
No,Rural,20,Primary education,Remittance Dependent
No,Urban,25,Primary education,Self employed
No,Rural,52,Primary education,Farming and Fishing
No,Urban,18,Secondary education,Remittance Dependent
No,Rural,23,Secondary education,Remittance Dependent
Yes,Urban,26,Vocational/Specialised training,Remittance Dependent
No,Rural,48,Primary education,Informally employed
No,Urban,75,No formal education,Remittance Dependent
No,Rural,37,No formal education,Farming and Fishing
No,Rural,25,Primary education,Informally employed
Yes,Urban,21,Secondary education,Formally employed Private
No,Rural,16,Primary education,Remittance Dependent
Yes,Urban,25,Vocational/Specialised training,Other Income
Yes,Urban,29,Tertiary education,Self employed
No,Urban,18,Secondary education,Remittance Dependent
No,Rural,40,No formal education,Farming and Fishing
No,Urban,21,Secondary education,Formally employed Private
No,Urban,19,Secondary education,Remittance Dependent
No,Rural,35,Primary education,Farming and Fishing
Yes,Urban,30,Primary education,Formally employed Government
No,Urban,73,Primary education,Other Income
No,Rural,71,No formal education,Informally employed
No,Rural,41,Primary education,Farming and Fishing
No,Rural,29,Secondary education,Informally employed
No,Urban,22,Tertiary education,Remittance Dependent
No,Urban,40,Primary education,Self employed
No,Urban,20,Secondary education,Informally employed
No,Urban,75,Primary education,Farming and Fishing
Yes,Rural,60,Primary education,Informally employed
Yes,Urban,20,Secondary education,Self employed
No,Rural,38,Primary education,Informally employed
Yes,Urban,26,Vocational/Specialised training,Informally employed
No,Urban,29,Secondary education,Informally employed
No,Rural,25,Secondary education,Remittance Dependent
No,Urban,29,No formal education,Remittance Dependent
No,Rural,66,No formal education,Informally employed
Yes,Urban,29,Secondary education,Formally employed Private
No,Urban,21,Secondary education,Remittance Dependent
No,Rural,65,Primary education,Dont Know/Refuse to answer
No,Rural,45,Primary education,Farming and Fishing
No,Rural,70,No formal education,Remittance Dependent
No,Urban,37,Primary education,Informally employed
No,Rural,58,Primary education,Remittance Dependent
Yes,Urban,32,Primary education,Informally employed
No,Urban,63,Primary education,Informally employed
No,Rural,70,No formal education,Remittance Dependent
Yes,Rural,54,Primary education,Farming and Fishing
No,Rural,30,Primary education,Farming and Fishing
No,Urban,50,Primary education,Informally employed
No,Rural,48,Primary education,Farming and Fishing
No,Rural,28,Primary education,Farming and Fishing
Yes,Urban,24,Primary education,Formally employed Government
No,Rural,35,Primary education,Farming and Fishing
Yes,Urban,25,Secondary education,Remittance Dependent
No,Rural,19,Secondary education,Remittance Dependent
No,Rural,16,Primary education,Remittance Dependent
No,Rural,50,Primary education,Farming and Fishing
No,Rural,18,Primary education,Remittance Dependent
No,Rural,46,Primary education,Farming and Fishing
No,Rural,25,No formal education,Farming and Fishing
No,Rural,16,Secondary education,Remittance Dependent
Yes,Urban,47,Vocational/Specialised training,Formally employed Government
Yes,Urban,70,No formal education,Farming and Fishing
No,Urban,70,Vocational/Specialised training,Remittance Dependent
No,Urban,35,Primary education,Informally employed
No,Urban,40,Primary education,Farming and Fishing
Yes,Urban,42,Primary education,Self employed
Yes,Urban,45,Secondary education,Formally employed Government
No,Rural,17,Secondary education,Other Income
No,Rural,30,No formal education,Farming and Fishing
No,Rural,25,Secondary education,Remittance Dependent
No,Rural,44,Primary education,Informally employed
Yes,Urban,30,Primary education,Self employed
No,Urban,30,Secondary education,Formally employed Private
No,Rural,20,Primary education,Remittance Dependent
Yes,Urban,33,Vocational/Specialised training,Formally employed Government
No,Rural,50,Primary education,Farming and Fishing
No,Urban,20,Primary education,Informally employed
No,Rural,63,No formal education,Self employed
No,Rural,72,Primary education,Farming and Fishing
No,Urban,28,Primary education,Informally employed
Yes,Rural,72,Primary education,Farming and Fishing
No,Rural,61,Primary education,Informally employed
No,Urban,22,Vocational/Specialised training,Remittance Dependent
No,Rural,40,Primary education,Informally employed
No,Rural,85,No formal education,Government Dependent
No,Rural,49,No formal education,Farming and Fishing
No,Rural,80,Primary education,Farming and Fishing
Yes,Urban,23,Tertiary education,Remittance Dependent
No,Urban,31,Vocational/Specialised training,Self employed
No,Rural,28,No formal education,Farming and Fishing
No,Rural,25,Secondary education,Other Income
Yes,Urban,38,Secondary education,Formally employed Private
No,Urban,28,Primary education,Remittance Dependent
Yes,Urban,50,Tertiary education,Formally employed Government
No,Urban,34,Primary education,Informally employed
No,Rural,93,No formal education,Government Dependent
Yes,Rural,78,Primary education,Farming and Fishing
No,Rural,30,Primary education,Farming and Fishing
No,Rural,78,No formal education,Remittance Dependent
No,Rural,24,Primary education,Informally employed
No,Rural,70,Primary education,Remittance Dependent
Yes,Rural,60,Secondary education,Farming and Fishing
No,Rural,45,Secondary education,Farming and Fishing
Yes,Rural,70,Primary education,Farming and Fishing
No,Urban,22,Secondary education,Formally employed Private
No,Urban,29,Primary education,Remittance Dependent
No,Rural,39,Primary education,Informally employed
No,Urban,19,Secondary education,Remittance Dependent
Yes,Urban,34,Vocational/Specialised training,Formally employed Government
No,Rural,34,Vocational/Specialised training,Remittance Dependent
Yes,Urban,30,Primary education,Formally employed Private
No,Urban,18,Secondary education,Remittance Dependent
No,Rural,63,Primary education,Farming and Fishing
No,Urban,30,Tertiary education,Formally employed Private
Yes,Urban,39,Primary education,Remittance Dependent
Yes,Urban,53,Primary education,Farming and Fishing
Yes,Rural,73,Primary education,Formally employed Private
No,Urban,24,Tertiary education,Informally employed
Yes,Urban,30,Secondary education,Informally employed
Yes,Rural,41,Primary education,Self employed
No,Urban,48,Primary education,Informally employed
Yes,Urban,21,Tertiary education,Remittance Dependent
Yes,Urban,60,No formal education,Farming and Fishing
No,Rural,66,Vocational/Specialised training,Farming and Fishing
No,Urban,16,Primary education,Informally employed
No,Rural,52,Primary education,Farming and Fishing
Yes,Urban,43,Secondary education,Informally employed
Yes,Rural,28,Primary education,Farming and Fishing
Yes,Rural,31,Primary education,Farming and Fishing
No,Rural,85,No formal education,Farming and Fishing
Yes,Rural,65,No formal education,Informally employed
No,Rural,54,No formal education,Farming and Fishing
No,Rural,33,Primary education,Self employed
Yes,Urban,40,Primary education,Informally employed
No,Rural,20,Secondary education,Remittance Dependent
Yes,Rural,23,Secondary education,Formally employed Private
No,Rural,35,No formal education,Remittance Dependent
Yes,Urban,65,Primary education,Informally employed
Yes,Urban,25,Vocational/Specialised training,Formally employed Government
Yes,Urban,50,Primary education,Farming and Fishing
Yes,Rural,29,Secondary education,Farming and Fishing
No,Rural,16,Primary education,Remittance Dependent
No,Rural,56,Primary education,Informally employed
No,Rural,74,Primary education,Farming and Fishing
Yes,Rural,60,Tertiary education,Self employed
Yes,Rural,34,Vocational/Specialised training,Formally employed Government
Yes,Urban,28,Secondary education,Farming and Fishing
No,Rural,78,No formal education,Remittance Dependent
Yes,Urban,59,Tertiary education,Formally employed Government
Yes,Rural,38,Secondary education,Farming and Fishing
Yes,Urban,25,Secondary education,Formally employed Private
No,Rural,30,Primary education,Informally employed
Yes,Urban,33,Secondary education,Self employed
No,Urban,59,No formal education,Farming and Fishing
No,Rural,29,Primary education,Farming and Fishing
No,Urban,42,Primary education,Informally employed
Yes,Urban,27,Vocational/Specialised training,Formally employed Government
Yes,Rural,35,Primary education,Self employed
Yes,Rural,40,Secondary education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
Yes,Urban,37,Secondary education,Self employed
No,Rural,75,No formal education,Remittance Dependent
No,Rural,16,Secondary education,Remittance Dependent
No,Rural,23,Secondary education,Informally employed
Yes,Rural,40,Primary education,Self employed
No,Rural,57,Secondary education,Farming and Fishing
No,Rural,20,No formal education,Farming and Fishing
Yes,Rural,50,Secondary education,Farming and Fishing
Yes,Urban,55,Primary education,Self employed
No,Rural,36,Secondary education,Informally employed
No,Urban,41,Secondary education,Self employed
No,Rural,28,Primary education,Farming and Fishing
Yes,Rural,36,Primary education,Self employed
No,Rural,32,Secondary education,Farming and Fishing
No,Rural,70,Primary education,Farming and Fishing
No,Rural,60,Primary education,Informally employed
Yes,Rural,32,Primary education,Farming and Fishing
No,Urban,25,Secondary education,Self employed
Yes,Rural,35,Primary education,Self employed
No,Rural,38,Primary education,Informally employed
No,Urban,23,Primary education,Remittance Dependent
No,Urban,41,Primary education,Informally employed
No,Rural,26,Secondary education,Informally employed
Yes,Rural,42,Secondary education,Farming and Fishing
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,39,Primary education,Informally employed
Yes,Urban,20,Vocational/Specialised training,Other Income
Yes,Rural,32,Primary education,Remittance Dependent
No,Rural,24,Secondary education,Self employed
No,Rural,18,Secondary education,Other Income
No,Rural,30,No formal education,Farming and Fishing
Yes,Rural,32,Tertiary education,Formally employed Private
Yes,Urban,29,Secondary education,Formally employed Private
No,Urban,20,Tertiary education,Remittance Dependent
No,Urban,39,Secondary education,Formally employed Government
No,Rural,56,Primary education,Remittance Dependent
No,Rural,30,No formal education,Farming and Fishing
No,Rural,55,Primary education,Farming and Fishing
No,Rural,55,Primary education,Informally employed
No,Rural,39,Primary education,Farming and Fishing
Yes,Urban,23,Secondary education,Remittance Dependent
Yes,Urban,30,Tertiary education,Formally employed Private
No,Rural,35,No formal education,Farming and Fishing
No,Rural,35,Primary education,Formally employed Government
No,Rural,23,Primary education,Remittance Dependent
No,Rural,58,Secondary education,Informally employed
Yes,Urban,28,Secondary education,Self employed
Yes,Urban,19,Tertiary education,Remittance Dependent
Yes,Rural,63,Tertiary education,Farming and Fishing
Yes,Rural,68,Primary education,Farming and Fishing
Yes,Urban,21,Tertiary education,Remittance Dependent
No,Rural,16,Primary education,Remittance Dependent
No,Rural,31,No formal education,Informally employed
No,Urban,42,Primary education,Informally employed
Yes,Rural,75,Primary education,Other Income
No,Rural,70,Primary education,Remittance Dependent
Yes,Urban,62,Tertiary education,Farming and Fishing
No,Urban,70,Primary education,Remittance Dependent
No,Rural,40,No formal education,Informally employed
No,Rural,55,No formal education,Farming and Fishing
No,Rural,47,Primary education,Informally employed
Yes,Rural,42,Secondary education,Remittance Dependent
No,Rural,30,Primary education,Farming and Fishing
No,Rural,43,Primary education,Farming and Fishing
No,Urban,46,Secondary education,Self employed
No,Urban,39,Secondary education,Self employed
No,Rural,35,Primary education,Informally employed
No,Rural,56,Secondary education,Farming and Fishing
No,Rural,39,Primary education,Informally employed
Yes,Rural,57,Secondary education,Informally employed
No,Urban,34,Secondary education,Formally employed Private
No,Rural,30,Primary education,Informally employed
No,Rural,38,Secondary education,Farming and Fishing
Yes,Rural,28,Secondary education,Remittance Dependent
No,Urban,40,Secondary education,Informally employed
No,Urban,40,Primary education,Informally employed
No,Rural,32,Primary education,Remittance Dependent
Yes,Rural,52,Vocational/Specialised training,Formally employed Government
No,Urban,18,Primary education,Remittance Dependent
Yes,Urban,38,Secondary education,Formally employed Government
Yes,Rural,21,Vocational/Specialised training,Remittance Dependent
No,Rural,55,Primary education,Farming and Fishing
No,Rural,17,Secondary education,Remittance Dependent
No,Rural,70,Primary education,Farming and Fishing
Yes,Urban,32,Vocational/Specialised training,Formally employed Government
Yes,Urban,40,Secondary education,Formally employed Private
No,Rural,53,Primary education,Farming and Fishing
