monthly_income,monthly_expense_total,savings_rate,budget_goal,credit_score,debt_to_income_ratio,loan_payment,discretionary_spending,essential_spending,rent_or_mortgage,financial_advice_score,financial_stress_level,actual_savings
4726.33,3948.38,0.14,2539.69,691.0,0.48,369.67,478.5,1850.42,929.73,73.7,Low,777.95
2911.22,1886.67,0.17,2330.65,631.0,0.52,448.13,755.99,1737.44,1501.13,43.5,High,1024.55
3972.53,2793.73,0.22,2700.51,759.0,0.44,469.72,563.8,2305.04,1187.25,79.7,Low,1178.8
5136.85,2474.84,0.28,2837.11,694.0,0.25,428.59,435.07,2900.43,943.32,81.4,Low,2662.01
4124.22,2712.7,0.26,3029.37,706.0,0.21,308.5,643.02,1682.26,839.09,78.3,Low,1411.52
4622.48,2219.51,0.18,2541.05,661.0,0.46,318.48,260.55,1651.01,903.63,64.1,Low,2402.97
4859.63,2830.71,0.4,2665.05,609.0,0.32,787.17,186.89,1921.24,1611.29,39.8,Low,2028.92
5414.37,3328.5,0.1,2707.47,665.0,0.56,540.72,468.01,2460.65,964.77,47.7,Medium,2085.87
6042.51,2246.36,0.05,2185.71,620.0,0.5,419.3,383.93,1975.73,423.02,27.9,Medium,3796.15
4422.94,2989.14,0.32,2506.2,662.0,0.38,440.32,809.16,1000.0,1618.9,27.3,High,1433.8
4012.76,2193.69,0.3,3328.25,617.0,0.53,720.24,183.69,1375.03,489.72,65.4,Medium,1819.07
3163.61,4000.56,0.22,2749.02,619.0,0.29,377.91,220.76,2389.84,1197.82,89.5,Low,0.0
2980.36,2083.75,0.15,3026.26,690.0,0.23,365.45,96.31,2709.84,1127.79,84.0,Medium,896.61
3515.99,3276.12,0.06,3289.32,633.0,0.12,479.01,482.87,2536.01,1042.06,98.8,Low,239.87
3855.03,2510.28,0.4,3054.35,736.0,0.52,247.74,352.05,2030.87,994.3,80.7,Low,1344.75
3725.58,3430.91,0.08,2739.51,771.0,0.43,588.68,0.0,1675.65,834.94,88.5,Medium,294.67
5423.61,3424.74,0.39,2646.35,718.0,0.2,330.56,546.81,2287.09,1768.19,62.6,Medium,1998.87
5273.97,2583.11,0.16,3373.36,602.0,0.44,426.18,547.92,2573.98,1370.0,72.8,Medium,2690.86
4276.99,2785.21,0.31,3381.24,731.0,0.22,480.68,482.68,2102.28,866.95,46.9,High,1491.78
4781.39,3279.82,0.29,2503.33,691.0,0.36,742.09,119.8,2368.1,1530.57,22.2,High,1501.57
4457.69,3522.27,0.3,2887.95,632.0,0.13,390.65,469.88,2333.02,1607.09,51.5,Medium,935.42
3782.73,2241.48,0.16,3606.0,689.0,0.5,564.04,260.49,2092.8,1181.67,4.2,Low,1541.25
3933.49,4154.43,0.37,3058.63,635.0,0.13,880.34,598.5,3256.12,1213.39,98.0,Low,0.0
4047.29,2359.97,0.07,3092.41,599.0,0.4,602.42,662.09,1979.19,969.63,77.9,Low,1687.32
4076.19,3117.55,0.32,2422.02,728.0,0.59,358.86,482.28,2970.22,519.17,4.2,High,958.64
4155.26,3157.23,0.17,2270.44,720.0,0.27,743.05,697.79,2778.93,1396.85,11.9,Low,998.03
1900.97,3577.86,0.4,3450.97,744.0,0.31,548.82,719.91,2969.82,1418.73,5.2,Low,0.0
2402.19,2901.92,0.06,2919.87,705.0,0.18,686.61,702.66,2610.4,1762.45,39.9,Low,0.0
3764.31,2918.07,0.22,2831.01,662.0,0.44,671.29,619.13,2275.19,1127.83,66.0,Low,846.24
3549.62,2797.15,0.07,2304.84,690.0,0.16,639.79,722.47,2522.92,906.81,71.6,High,752.47
4722.51,3075.01,0.34,2922.43,655.0,0.33,632.85,738.87,1951.17,936.35,32.4,High,1647.5
3393.56,3409.64,0.4,3043.73,614.0,0.19,415.4,626.21,3048.68,920.01,41.1,Low,0.0
4264.95,1818.65,0.09,2964.82,561.0,0.27,153.88,466.6,3184.95,1485.3,27.8,Medium,2446.3
3170.26,2214.21,0.36,2228.47,661.0,0.28,306.82,925.74,2129.03,1027.2,67.7,Medium,956.05
4573.38,3768.84,0.27,2182.29,749.0,0.55,146.4,293.81,1930.96,686.66,54.3,Medium,804.54
2800.92,1663.92,0.24,2369.23,657.0,0.17,125.73,487.92,2253.56,1787.83,23.0,Low,1137.0
5578.55,2600.71,0.06,1942.39,700.0,0.45,262.58,473.79,2580.57,1051.48,53.8,Medium,2977.84
4078.42,2546.59,0.33,2892.13,630.0,0.37,589.78,784.24,1158.34,1571.24,6.3,Low,1531.83
4116.03,2919.91,0.14,2697.48,688.0,0.53,485.74,228.4,2745.38,916.7,64.1,Low,1196.12
4268.09,2534.99,0.13,1820.82,750.0,0.5,470.08,430.83,2556.3,1076.83,76.0,Low,1733.1
5466.77,3518.15,0.15,3075.67,675.0,0.33,300.01,555.2,2010.92,1257.5,87.6,Low,1948.62
3593.89,3401.82,0.25,2155.52,619.0,0.13,725.61,348.61,3220.52,862.47,68.3,High,192.07
5216.32,3003.14,0.25,3287.03,695.0,0.25,322.61,152.69,1446.48,1084.08,77.3,Low,2213.18
3997.43,2243.56,0.16,2257.94,683.0,0.45,399.33,776.76,2170.57,2614.62,37.1,Medium,1753.87
4838.69,4392.42,0.26,3274.63,645.0,0.5,723.09,470.58,1931.79,936.57,23.8,Low,446.27
3613.29,1069.2,0.25,3365.82,649.0,0.48,516.49,226.87,3212.17,485.97,99.4,High,2544.09
4055.69,4699.43,0.16,1905.94,764.0,0.41,262.43,342.8,1307.91,860.13,38.0,Low,0.0
4533.65,3390.89,0.16,2109.21,658.0,0.27,568.54,870.45,3362.31,2114.22,25.8,High,1142.76
5532.8,810.91,0.32,2731.72,691.0,0.14,416.89,545.09,2136.32,1562.54,45.2,Medium,4721.89
5295.24,1740.05,0.11,3118.97,726.0,0.16,525.73,811.35,1293.6,1000.74,72.3,Low,3555.19
3705.56,2972.45,0.18,2874.56,692.0,0.11,686.14,47.46,1052.47,1347.05,97.4,Medium,733.11
4521.79,3131.93,0.37,3025.06,645.0,0.41,280.93,187.14,1731.05,368.58,62.2,High,1389.86
3629.51,3352.63,0.06,2658.66,727.0,0.39,4.73,532.19,2227.09,1465.63,73.8,Low,276.88
2586.17,2534.03,0.09,2409.44,613.0,0.56,604.13,679.0,2078.09,1681.8,50.3,Medium,52.14
3677.05,2276.04,0.17,3074.08,753.0,0.57,366.83,146.24,2715.84,1441.28,74.5,Medium,1401.01
3285.42,2691.73,0.21,2966.68,714.0,0.47,706.65,586.33,1361.88,1121.37,33.8,High,593.69
3814.84,2020.61,0.14,2757.38,670.0,0.18,367.81,537.93,2462.69,465.23,96.9,Low,1794.23
2282.15,1808.42,0.08,2036.74,612.0,0.43,573.76,438.09,2490.75,928.5,55.7,Low,473.73
4003.62,4254.45,0.17,2560.16,628.0,0.46,660.45,525.02,1000.0,1609.61,71.8,Low,0.0
4169.75,3064.38,0.39,3289.28,658.0,0.24,633.69,384.05,3045.44,1556.05,46.4,Medium,1105.37
4154.59,3070.33,0.37,3168.63,682.0,0.35,634.79,563.52,2297.94,2222.8,93.6,High,1084.26
5530.99,996.21,0.26,1673.99,668.0,0.1,563.79,437.43,1887.29,1249.45,69.7,High,4534.78
2249.0,4408.99,0.1,3479.97,681.0,0.35,832.77,226.64,1547.2,1380.6,9.6,Low,0.0
4108.07,2591.19,0.2,3900.31,668.0,0.1,298.17,400.19,2157.76,1484.8,28.8,Medium,1516.88
3281.77,2937.27,0.09,2975.45,621.0,0.22,91.88,579.78,2982.26,1094.01,40.7,Low,344.5
3642.2,1872.49,0.25,1972.05,721.0,0.16,782.47,408.48,2303.32,1540.2,4.5,Low,1769.71
3463.41,3271.94,0.08,2743.33,604.0,0.16,415.25,221.86,1895.09,1585.15,91.8,High,191.47
4599.21,3564.07,0.3,3528.02,657.0,0.37,385.63,606.22,2307.27,1451.61,61.4,Low,1035.14
3375.82,2627.31,0.07,3402.61,661.0,0.23,885.3,459.21,2665.28,1306.39,23.5,Medium,748.51
4023.87,1360.32,0.17,3357.66,740.0,0.21,470.65,830.19,2651.21,851.6,87.0,Low,2663.55
4976.02,3902.74,0.27,2370.54,535.0,0.43,1151.87,346.96,2214.83,815.3,93.5,Low,1073.28
3874.19,2673.9,0.06,3160.19,709.0,0.42,359.9,826.7,2111.3,1239.34,22.5,Medium,1200.29
3539.63,1192.31,0.07,2554.84,731.0,0.4,680.77,641.53,1446.19,1269.19,34.0,Low,2347.32
2832.28,4716.8,0.39,2712.04,648.0,0.23,346.02,390.53,2336.89,1179.15,63.3,Medium,0.0
3456.66,2910.41,0.3,3457.95,611.0,0.48,492.74,429.48,2045.01,670.0,10.7,Low,546.25
2954.93,5011.59,0.19,3533.22,696.0,0.35,324.05,516.68,2701.17,1902.67,1.0,High,0.0
4374.48,4704.11,0.2,2581.05,666.0,0.28,791.63,163.42,2079.27,1375.16,48.0,High,0.0
3185.98,1721.25,0.15,2148.24,613.0,0.32,421.45,453.23,1440.94,812.36,98.9,Low,1464.73
3150.47,2759.67,0.05,2711.72,753.0,0.16,538.51,748.25,1384.25,1101.52,8.8,Low,390.8
3797.06,2792.7,0.37,2453.8,690.0,0.34,372.48,920.17,2452.58,1380.33,97.7,Low,1004.36
3152.89,1886.08,0.13,3334.43,754.0,0.54,728.33,329.4,1350.44,642.61,57.6,Low,1266.81
4953.73,3013.09,0.31,2929.87,651.0,0.56,1110.26,517.53,1553.91,557.02,45.5,Medium,1940.64
5299.48,2460.74,0.34,3367.14,636.0,0.25,496.16,508.35,2556.54,1281.91,38.1,Low,2838.74
3266.25,1380.33,0.23,2511.99,708.0,0.19,164.61,407.98,2656.32,720.27,99.5,High,1885.92
3805.09,2046.66,0.38,2905.7,741.0,0.27,232.36,505.06,2657.53,818.8,76.2,Low,1758.43
4695.21,4526.43,0.2,2232.93,746.0,0.52,149.62,721.25,1585.08,1277.59,4.4,Medium,168.78
3062.59,2374.18,0.37,2715.38,691.0,0.28,492.44,799.8,2231.37,1034.37,33.3,Medium,688.41
2567.88,2611.7,0.22,3408.13,663.0,0.41,505.42,399.37,1913.29,1856.11,4.9,High,0.0
3564.15,2364.97,0.26,2846.31,711.0,0.14,544.1,285.79,2412.89,930.95,53.1,Medium,1199.18
3018.3,2843.89,0.18,2417.01,635.0,0.36,722.82,687.59,2514.67,1535.2,7.1,High,174.41
4385.93,2446.52,0.37,2618.46,718.0,0.19,608.8,389.61,2473.45,1307.07,50.0,High,1939.41
3365.37,4409.87,0.28,2178.54,683.0,0.22,626.78,315.23,2725.96,1455.59,52.2,Low,0.0
4797.98,3844.56,0.3,3441.53,685.0,0.18,615.87,783.88,2484.2,1231.69,89.1,Low,953.42
3940.12,3005.82,0.29,2963.31,665.0,0.37,376.16,347.27,2089.57,2043.99,54.4,Medium,934.3
4576.18,2464.61,0.14,3021.33,751.0,0.56,547.0,526.62,1719.7,418.92,12.1,High,2111.57
5111.08,3601.36,0.12,2685.73,698.0,0.21,260.95,848.56,2091.46,660.59,15.6,Medium,1509.72
5514.81,2614.04,0.08,3259.67,703.0,0.11,809.86,450.6,2559.54,1385.43,58.3,Low,2900.77
3737.87,3199.86,0.31,1513.22,647.0,0.18,345.65,611.22,2706.64,1378.12,25.4,Low,538.01
2788.49,2128.48,0.19,2728.76,671.0,0.14,921.83,487.03,1893.97,856.72,11.4,Low,660.01
3145.16,2220.45,0.32,3615.97,608.0,0.52,537.63,778.07,2165.56,1445.45,99.7,Low,924.71
3360.3,5853.2,0.12,3016.99,693.0,0.57,565.83,887.86,2093.06,1119.7,31.7,Medium,0.0
2578.18,2314.4,0.07,2979.66,771.0,0.33,487.37,449.34,1991.85,1062.6,31.5,High,263.78
4532.96,2762.25,0.36,2286.6,664.0,0.37,509.45,366.62,2385.74,1465.27,19.1,Medium,1770.71
6148.1,3555.9,0.25,2624.66,660.0,0.13,978.84,530.47,2209.22,1199.77,1.3,Low,2592.2
1947.27,4457.39,0.26,2997.07,669.0,0.46,687.79,162.89,2171.38,1060.91,76.4,High,0.0
2918.58,1340.14,0.32,2849.76,657.0,0.35,534.33,342.52,2141.52,1094.19,74.7,High,1578.44
4743.64,3230.18,0.3,3444.56,759.0,0.59,447.11,338.95,2888.98,1055.09,91.4,Low,1513.46
2598.15,3477.97,0.25,3019.66,666.0,0.48,450.99,679.7,2740.24,1321.52,64.3,Medium,0.0
3482.5,2302.83,0.33,2970.08,630.0,0.15,704.13,116.82,2021.61,1423.22,90.1,Medium,1179.67
4313.75,2613.77,0.33,2414.02,616.0,0.27,459.07,1007.33,2905.84,1846.99,43.3,Medium,1699.98
2413.74,2468.21,0.36,1868.91,728.0,0.23,775.44,309.67,2016.58,1710.16,6.3,High,0.0
3351.95,2206.76,0.16,3223.23,731.0,0.33,615.16,795.63,1842.64,916.09,51.2,Medium,1145.19
4724.31,3619.56,0.06,2612.59,622.0,0.53,477.56,457.14,2159.52,1127.59,31.0,Low,1104.75
4744.74,2737.26,0.08,2829.23,734.0,0.44,473.71,490.81,1374.36,1535.78,46.9,High,2007.48
4019.61,3348.09,0.09,2223.5,662.0,0.44,361.59,373.47,2248.86,591.0,93.2,Low,671.52
3366.47,4182.38,0.31,1874.76,738.0,0.48,591.37,720.15,2563.36,2133.36,21.4,Medium,0.0
4236.25,1861.05,0.31,3863.63,661.0,0.3,375.76,388.07,2759.05,1059.87,95.1,Medium,2375.2
3391.04,4857.85,0.37,3028.27,726.0,0.17,420.55,879.56,1430.28,1914.63,5.9,Low,0.0
2598.82,2864.59,0.13,2660.26,671.0,0.11,758.38,866.5,1636.85,1055.44,83.2,Low,0.0
3511.52,3264.87,0.3,2937.08,665.0,0.27,37.48,752.48,2461.02,658.9,31.2,Low,246.65
3735.72,3341.88,0.23,2812.9,674.0,0.4,572.46,310.85,1917.47,1430.52,90.5,Low,393.84
2829.98,2944.6,0.29,3228.37,695.0,0.41,558.19,534.4,1254.88,1527.49,56.4,Medium,0.0
2249.7,3320.08,0.36,2595.9,644.0,0.45,563.4,740.21,2155.4,1587.66,28.4,Low,0.0
5275.13,2932.46,0.31,3945.1,661.0,0.4,743.21,284.43,1907.7,1290.68,9.8,Low,2342.67
5822.68,3179.36,0.21,3325.13,628.0,0.2,507.93,339.71,1000.0,970.58,93.4,Low,2643.32
2841.36,2155.87,0.26,2378.99,786.0,0.36,441.54,839.27,1766.43,1259.7,52.7,Low,685.49
5173.36,1901.57,0.26,2810.5,720.0,0.46,253.85,799.8,1000.0,958.44,56.6,High,3271.79
3916.1,3321.43,0.12,3274.45,598.0,0.28,369.36,657.48,3000.99,911.81,64.8,High,594.67
4870.59,3461.87,0.22,2200.37,643.0,0.25,371.28,254.78,1622.42,1256.79,15.9,Low,1408.72
3192.65,2536.07,0.15,3016.3,629.0,0.28,428.2,397.23,2430.85,1639.1,28.1,Medium,656.58
4364.93,2068.6,0.32,2835.57,630.0,0.18,524.35,773.77,2679.95,1535.82,18.9,Low,2296.33
4424.01,3273.45,0.39,2313.13,734.0,0.41,399.9,688.96,1000.0,1040.46,42.1,Low,1150.56
3950.61,4145.59,0.08,3392.67,717.0,0.22,656.13,348.13,1725.78,1722.81,40.4,High,0.0
3552.09,2608.6,0.31,2597.95,674.0,0.16,537.44,536.73,3491.05,547.59,94.8,Low,943.49
3780.84,2435.75,0.4,2923.72,639.0,0.25,452.79,474.94,2171.6,1811.64,14.4,Medium,1345.09
4348.0,2301.0,0.16,2533.29,714.0,0.39,210.95,818.7,2833.09,1248.21,13.0,Medium,2047.0
4451.58,2430.48,0.13,3152.31,826.0,0.2,600.37,456.41,2881.27,1268.71,45.9,Medium,2021.1
4514.39,2230.66,0.17,2506.81,589.0,0.36,811.28,669.9,2321.88,1666.56,72.0,Medium,2283.73
4224.96,2896.18,0.23,3389.0,590.0,0.39,478.88,748.45,1618.49,647.79,13.9,Low,1328.78
3522.96,3828.39,0.05,3072.32,682.0,0.36,279.02,302.61,1994.3,1237.43,61.9,Low,0.0
5599.7,2721.35,0.34,2719.29,523.0,0.15,586.9,547.21,1000.0,999.3,82.8,High,2878.35
4148.47,3669.69,0.36,2487.54,720.0,0.32,369.29,814.04,2672.96,1480.44,91.5,Low,478.78
5173.72,3570.01,0.37,2631.98,650.0,0.47,695.4,604.38,2388.88,1071.56,44.7,Low,1603.71
878.47,3711.08,0.12,2918.12,694.0,0.29,766.45,585.98,1678.89,1729.85,5.7,Low,0.0
5784.09,3430.15,0.17,3111.91,721.0,0.39,708.76,609.4,2013.63,1291.04,78.2,Low,2353.94
3598.39,3003.42,0.14,2793.03,652.0,0.5,594.12,397.14,1625.5,1770.26,50.4,Low,594.97
3751.22,4491.63,0.14,3562.7,672.0,0.48,210.01,357.57,1613.11,583.68,78.4,Low,0.0
4018.19,2347.54,0.36,3538.24,723.0,0.44,321.21,792.24,2164.37,300.0,39.6,Low,1670.65
4405.6,2086.74,0.25,3067.48,667.0,0.31,690.36,604.26,1317.03,1402.39,42.6,Low,2318.86
3988.46,4850.38,0.23,3107.88,726.0,0.39,503.97,98.36,2494.41,962.58,43.7,Low,0.0
2349.1,3478.14,0.24,3023.22,741.0,0.6,547.97,797.64,2166.48,1041.19,34.4,Medium,0.0
3384.49,3124.1,0.08,2997.07,611.0,0.19,297.28,525.95,1865.02,1226.57,36.4,Low,260.39
2772.8,3557.14,0.36,3356.31,640.0,0.47,363.99,423.83,1419.48,1254.4,12.9,Low,0.0
3791.64,3048.59,0.29,3367.34,665.0,0.12,436.53,492.46,2540.57,1586.13,55.9,Medium,743.05
5591.87,2156.97,0.16,2462.58,653.0,0.57,790.76,403.2,3084.99,1334.98,42.1,High,3434.9
5463.62,2816.29,0.25,2446.48,739.0,0.46,580.65,842.28,2560.7,1018.91,44.1,Low,2647.33
5500.56,2501.94,0.34,3216.31,678.0,0.17,131.92,416.96,1793.33,739.18,49.5,Low,2998.62
4786.28,2579.17,0.24,3106.51,689.0,0.13,697.21,786.79,3247.95,1074.03,45.6,Low,2207.11
3035.68,2846.88,0.4,2889.28,631.0,0.53,610.9,897.23,1452.31,1335.64,79.6,High,188.8
2216.99,3393.73,0.33,3273.4,718.0,0.27,977.65,498.4,3829.47,785.53,42.4,Medium,0.0
4581.92,4121.99,0.39,2635.18,680.0,0.51,475.71,300.61,2129.07,1371.69,28.7,High,459.93
2335.32,3350.56,0.06,2856.34,659.0,0.23,813.66,624.75,2607.93,1172.8,5.2,Medium,0.0
4529.28,3330.63,0.21,3601.6,674.0,0.41,497.97,623.43,2072.06,1605.25,35.9,Low,1198.65
3107.16,2657.15,0.09,2755.0,675.0,0.37,89.65,632.18,1992.41,300.0,37.9,Low,450.01
4721.11,3425.31,0.21,3193.98,688.0,0.11,335.82,632.74,1726.92,1487.11,45.8,Medium,1295.8
3908.56,3196.97,0.18,3962.26,807.0,0.18,563.12,689.1,2458.84,1746.55,20.2,Low,711.59
4813.79,2222.54,0.21,3386.62,645.0,0.19,571.44,493.48,3700.98,1025.64,49.6,Low,2591.25
3797.07,3606.88,0.39,2300.44,736.0,0.2,382.19,643.59,2155.69,1728.14,95.0,Low,190.19
4018.31,1566.09,0.12,2757.69,765.0,0.26,414.11,238.58,1612.76,1304.51,3.9,Medium,2452.22
6187.45,3518.25,0.23,2703.76,676.0,0.22,733.8,457.05,2462.77,612.75,56.2,Low,2669.2
2602.7,3487.53,0.38,2589.63,654.0,0.19,306.94,236.9,1778.1,1418.38,86.1,Medium,0.0
3970.71,4435.95,0.15,2748.72,676.0,0.44,640.58,852.02,2311.11,1355.55,29.9,Low,0.0
4896.1,3404.36,0.24,2018.65,757.0,0.36,542.81,687.49,1928.02,851.91,65.4,High,1491.74
2149.49,3535.83,0.06,3321.08,662.0,0.58,537.2,337.93,1883.77,904.08,84.9,High,0.0
4425.12,2375.51,0.25,3099.92,656.0,0.15,379.77,861.52,2568.6,798.01,7.9,Medium,2049.61
4516.16,3683.37,0.31,1824.49,685.0,0.23,297.37,440.47,1503.34,1362.81,33.7,Low,832.79
4960.36,3565.49,0.35,2418.21,654.0,0.57,781.6,289.44,3135.85,947.18,77.0,Low,1394.87
3579.28,3564.95,0.08,3138.08,578.0,0.55,697.35,461.58,2004.93,982.64,73.5,Low,14.33
4195.32,4528.08,0.06,3192.45,722.0,0.43,789.01,504.13,2207.11,770.82,92.6,Medium,0.0
3861.33,2315.84,0.36,2977.54,677.0,0.29,434.62,846.35,1453.05,803.2,12.7,Medium,1545.49
4628.51,2707.27,0.17,3734.83,661.0,0.22,447.31,910.56,2398.46,818.51,61.5,Low,1921.24
4985.68,3857.51,0.35,2972.64,779.0,0.22,476.72,550.23,2524.21,872.95,55.3,Medium,1128.17
4960.6,3365.61,0.3,3305.15,702.0,0.1,648.79,629.38,2203.43,1697.35,7.7,Low,1594.99
3400.45,2751.58,0.29,3033.65,767.0,0.51,374.47,798.83,2362.15,1239.84,1.7,Medium,648.87
4381.57,3102.35,0.11,3022.66,628.0,0.52,354.83,953.03,1807.13,1779.79,76.0,Low,1279.22
3925.11,3033.29,0.37,2635.8,612.0,0.1,331.05,529.17,1566.64,1266.81,99.0,High,891.82
2046.45,4009.84,0.4,3060.09,663.0,0.28,362.11,452.14,2178.34,1651.71,46.6,High,0.0
4301.87,2687.81,0.28,3167.77,715.0,0.59,960.2,476.81,1884.19,1060.97,25.0,Low,1614.06
4030.27,4110.0,0.08,3068.57,682.0,0.51,519.56,647.95,1579.39,1138.58,95.0,Low,0.0
4628.88,3948.03,0.21,2901.07,684.0,0.55,721.14,731.04,2352.05,1376.24,99.0,High,680.85
4199.72,3447.17,0.38,2524.56,637.0,0.3,781.35,586.17,1683.32,977.54,12.2,Medium,752.55
3727.2,2866.51,0.34,3024.36,756.0,0.37,715.66,233.62,2389.16,819.47,8.9,Low,860.69
4566.2,2625.76,0.17,1714.73,718.0,0.36,698.12,298.67,3050.94,1011.88,58.1,High,1940.44
3905.58,3644.25,0.34,2970.4,742.0,0.56,493.53,775.94,1854.28,1025.89,10.5,Low,261.33
4625.76,3753.91,0.17,2701.65,727.0,0.3,128.14,639.96,1946.77,1224.58,50.7,Low,871.85
4153.75,2946.18,0.37,2685.02,680.0,0.31,577.34,686.32,2952.92,1156.4,81.7,High,1207.57
2929.28,2062.0,0.18,3302.54,769.0,0.35,736.25,629.97,1122.05,1149.32,92.6,Low,867.28
2378.14,3431.58,0.09,3004.2,609.0,0.53,0.0,446.63,1822.37,1372.98,63.8,High,0.0
2932.61,3926.52,0.16,2976.24,714.0,0.18,463.01,261.2,2403.36,955.07,11.7,Low,0.0
4008.54,2737.67,0.23,2528.4,629.0,0.15,587.48,730.14,2945.52,1646.5,6.2,Medium,1270.87
4018.94,2129.49,0.26,3067.24,652.0,0.57,727.8,238.98,2600.49,1007.75,41.6,Low,1889.45
4729.29,1401.51,0.33,2655.49,636.0,0.38,115.85,286.52,2161.93,570.3,45.2,High,3327.78
4371.96,2455.72,0.36,2535.29,760.0,0.17,346.45,391.69,1875.97,958.13,49.2,Medium,1916.24
4552.98,3002.22,0.1,2919.41,657.0,0.41,560.19,964.29,2484.22,1729.39,26.4,High,1550.76
4745.46,2585.7,0.2,2623.14,682.0,0.42,654.38,152.45,1263.81,1237.81,37.4,Medium,2159.76
4820.37,2712.34,0.07,2917.38,724.0,0.48,340.47,211.92,1714.96,1695.02,77.2,Low,2108.03
5907.23,2670.07,0.31,2905.78,688.0,0.15,558.97,658.11,2295.59,1208.49,25.3,Low,3237.16
5196.78,3775.28,0.05,2880.0,704.0,0.21,634.59,799.53,2485.54,361.49,32.2,Low,1421.5
3008.33,2707.59,0.16,2970.39,662.0,0.52,331.77,528.58,2332.52,1616.83,78.2,Low,300.74
4589.2,2140.76,0.36,2019.69,682.0,0.46,245.8,666.19,2528.63,1411.3,60.2,Low,2448.44
4151.52,3116.6,0.22,2889.56,623.0,0.55,589.79,124.82,1781.24,529.5,23.2,Medium,1034.92
4517.63,2694.5,0.2,2979.15,648.0,0.59,752.08,680.79,1599.26,540.69,30.3,Low,1823.13
3282.64,3340.16,0.15,3883.44,737.0,0.6,307.81,523.37,2411.47,1614.83,84.7,Medium,0.0
5793.84,3009.44,0.37,2895.1,634.0,0.31,89.89,516.09,1000.0,300.0,44.7,High,2784.4
916.04,3094.28,0.26,2511.34,680.0,0.18,409.43,543.92,1000.0,857.33,37.7,Medium,0.0
3196.81,2748.36,0.24,2671.3,576.0,0.39,425.05,828.51,1608.31,1166.25,12.3,Medium,448.45
3884.77,3691.02,0.34,3562.9,640.0,0.22,762.35,494.58,2567.83,1713.33,16.6,Low,193.75
6303.25,2367.02,0.39,3291.62,690.0,0.34,627.34,462.13,1725.06,1114.01,10.2,Medium,3936.23
6580.84,2714.76,0.12,2997.07,657.0,0.47,232.56,473.14,1752.62,981.29,4.7,Low,3866.08
2303.02,3598.26,0.3,2229.49,663.0,0.44,455.64,708.84,2370.78,1711.78,99.0,Medium,0.0
3441.61,3902.53,0.18,2686.9,720.0,0.37,362.76,538.13,2155.96,1816.79,71.0,Medium,0.0
2739.6,3771.22,0.2,2381.32,699.0,0.12,202.75,187.94,1717.87,1093.59,15.4,Low,0.0
3548.86,2081.26,0.15,2753.81,641.0,0.46,481.66,538.73,1818.82,1814.45,81.7,Medium,1467.6
4373.16,2110.01,0.09,3177.66,652.0,0.32,541.47,722.9,2246.69,865.02,30.9,Low,2263.15
2884.4,2870.08,0.33,3144.62,707.0,0.14,292.64,544.29,2324.03,924.24,33.0,Low,14.32
4925.07,2916.49,0.28,2264.48,684.0,0.37,626.16,0.0,1730.6,1082.22,76.6,Low,2008.58
