age,gender,education_level,job_title,monthly_income_usd,credit_score
26,Male,Bachelor,Teacher,630.43,578
62,Female,High School,Accountant,2132.56,442
36,Male,Bachelor,Engineer,3393.94,302
43,Female,Master,Accountant,3930.59,599
32,Male,Bachelor,Salesperson,5517.86,672
63,Male,Master,Doctor,4562.38,389
47,Male,Master,Student,5897.88,684
62,Female,Other,Unemployed,2675.77,309
59,Female,Bachelor,Salesperson,6139.7,738
22,Male,Master,Student,2174.1,808
42,Other,High School,Driver,500.0,466
63,Male,Master,Accountant,500.0,727
49,Female,Master,Unemployed,3506.98,415
53,Other,Master,Student,923.93,311
33,Female,Master,Student,1815.37,585
37,Female,High School,Engineer,3367.18,660
19,Female,Bachelor,Doctor,4386.66,442
54,Male,Bachelor,Unemployed,3807.45,761
33,Male,Master,Driver,5073.02,836
42,Male,Bachelor,Engineer,2203.06,416
25,Male,Bachelor,Doctor,2121.33,359
48,Male,Master,Teacher,3711.82,762
40,Male,High School,Driver,5097.06,719
55,Male,High School,Driver,2155.13,809
44,Male,Master,Student,4217.69,463
52,Male,Master,Student,1762.74,526
46,Male,Bachelor,Engineer,6284.65,531
45,Female,Master,Manager,1758.36,472
22,Female,Bachelor,Manager,4473.92,665
28,Other,PhD,Driver,3090.36,651
55,Male,Bachelor,Manager,5214.26,677
27,Female,Bachelor,Unemployed,6622.32,587
51,Male,Bachelor,Student,3522.93,734
38,Male,Master,Engineer,2441.97,601
49,Male,Bachelor,Unemployed,7459.78,343
39,Female,Bachelor,Unemployed,4600.38,666
54,Male,Bachelor,Engineer,5078.26,790
27,Female,Master,Teacher,4683.26,533
29,Female,Bachelor,Accountant,6252.73,431
21,Female,Master,Salesperson,5568.07,319
24,Female,Master,Student,3511.6,487
36,Female,High School,Unemployed,4221.64,649
50,Male,Bachelor,Accountant,4379.7,698
28,Female,Other,Doctor,5153.52,725
63,Male,Bachelor,Doctor,3615.78,612
23,Male,Bachelor,Accountant,6781.0,707
59,Male,Bachelor,Manager,3866.94,549
38,Female,Bachelor,Teacher,4490.56,612
38,Male,Master,Manager,1460.62,626
34,Other,Bachelor,Accountant,1853.06,793
18,Male,High School,Accountant,3103.24,643
27,Other,Master,Student,8020.02,513
32,Female,Master,Accountant,7165.19,526
40,Female,Bachelor,Driver,4759.74,371
64,Male,Master,Doctor,1542.4,339
45,Male,High School,Salesperson,4425.49,408
38,Female,Bachelor,Student,4779.77,681
52,Male,Master,Teacher,2455.26,749
61,Male,Bachelor,Salesperson,2803.26,588
33,Male,Bachelor,Student,7282.09,490
21,Female,Bachelor,Salesperson,5027.82,506
68,Female,Master,Teacher,4359.16,846
47,Female,Bachelor,Manager,4663.96,472
36,Female,High School,Doctor,4381.0,633
21,Male,Master,Unemployed,3791.1,793
38,Female,High School,Driver,3662.36,623
34,Male,Other,Student,500.0,325
46,Male,PhD,Accountant,2624.13,839
39,Female,Other,Manager,6958.16,766
59,Other,Bachelor,Manager,5222.29,348
25,Male,High School,Salesperson,1098.58,482
56,Female,Master,Engineer,3366.49,408
65,Male,Master,Salesperson,4289.74,711
66,Male,High School,Student,2770.45,565
68,Female,Master,Doctor,6662.96,557
58,Male,Bachelor,Salesperson,5523.61,737
35,Male,High School,Unemployed,3468.46,340
65,Male,Bachelor,Engineer,6866.84,447
46,Female,Bachelor,Engineer,6444.25,643
20,Other,Bachelor,Unemployed,4222.34,784
54,Female,Bachelor,Doctor,4028.65,464
66,Female,High School,Student,4312.38,832
28,Female,Bachelor,Manager,2956.2,819
22,Male,Bachelor,Salesperson,5129.63,545
28,Female,High School,Accountant,3750.76,527
50,Female,Bachelor,Accountant,1654.82,381
68,Female,Bachelor,Driver,3605.32,446
22,Female,Master,Teacher,3697.45,619
33,Female,Bachelor,Accountant,3752.54,846
57,Male,Master,Doctor,3287.06,382
55,Male,High School,Unemployed,784.88,326
56,Male,Bachelor,Salesperson,2474.55,580
40,Female,Bachelor,Unemployed,4419.32,707
30,Female,Master,Teacher,3016.73,453
49,Female,Master,Manager,2283.1,440
66,Male,PhD,Engineer,6251.18,322
38,Female,High School,Engineer,4795.4,592
34,Male,Other,Accountant,4315.5,526
58,Male,Master,Doctor,3206.68,399
40,Female,Bachelor,Student,4965.05,448
57,Male,Bachelor,Driver,6004.17,697
52,Female,Bachelor,Unemployed,5034.39,677
43,Female,Bachelor,Engineer,4876.95,720
42,Female,Bachelor,Salesperson,4039.23,756
25,Female,Master,Unemployed,4624.14,733
32,Female,Master,Student,4299.86,600
28,Other,Bachelor,Engineer,5277.04,788
43,Male,High School,Manager,3526.46,314
38,Other,Master,Teacher,1384.85,819
62,Male,Master,Teacher,4383.32,571
52,Female,Bachelor,Accountant,3564.92,424
34,Other,Bachelor,Student,1022.0,794
60,Female,High School,Unemployed,4612.03,621
39,Male,High School,Doctor,6109.33,798
49,Female,Bachelor,Doctor,4495.02,381
18,Male,High School,Doctor,4300.81,492
39,Female,Bachelor,Salesperson,4983.59,408
24,Female,PhD,Salesperson,7404.11,408
25,Male,Bachelor,Accountant,1188.49,835
21,Male,Master,Manager,2137.46,625
27,Male,Bachelor,Doctor,5358.75,605
42,Male,Bachelor,Unemployed,1702.41,609
25,Female,High School,Teacher,4836.8,401
18,Female,High School,Manager,6803.2,808
34,Male,High School,Unemployed,4879.0,364
20,Female,Bachelor,Doctor,5557.87,787
50,Other,Bachelor,Driver,4612.82,757
37,Female,Master,Unemployed,7684.96,478
69,Female,High School,Salesperson,1941.26,368
50,Male,Bachelor,Salesperson,1294.66,514
46,Male,Bachelor,Accountant,1343.37,381
37,Male,Bachelor,Driver,4154.95,738
46,Female,High School,Doctor,7346.9,625
53,Male,High School,Driver,6680.92,547
51,Male,High School,Doctor,4139.1,345
49,Female,Other,Teacher,5445.18,640
45,Female,Master,Driver,7499.17,338
40,Male,PhD,Engineer,6762.91,613
28,Female,Bachelor,Teacher,4999.37,793
34,Female,Bachelor,Engineer,4944.0,486
19,Female,Bachelor,Manager,7985.03,811
30,Male,Bachelor,Unemployed,2466.69,337
65,Female,Master,Teacher,4271.44,576
69,Female,Master,Student,4329.82,436
62,Female,High School,Student,4349.64,584
40,Male,Master,Student,4329.31,784
35,Male,Bachelor,Driver,2580.84,839
31,Male,Bachelor,Unemployed,1482.99,808
64,Female,Master,Manager,2263.41,392
65,Female,High School,Manager,5069.26,492
34,Female,Master,Salesperson,5452.01,392
39,Female,Bachelor,Accountant,2118.71,728
28,Male,Bachelor,Driver,2205.91,381
30,Female,Bachelor,Driver,2653.91,421
49,Male,Bachelor,Engineer,6892.39,779
69,Male,Master,Student,1222.22,789
39,Female,Bachelor,Unemployed,6738.78,599
32,Female,Bachelor,Driver,500.0,683
64,Female,Master,Salesperson,1973.37,506
49,Female,High School,Salesperson,5402.37,816
63,Female,Bachelor,Manager,5341.48,630
55,Male,Other,Driver,3415.48,798
47,Male,Master,Unemployed,1936.53,638
21,Other,Master,Accountant,6226.72,839
22,Other,Other,Engineer,5403.7,454
40,Female,Master,Accountant,3876.09,705
64,Male,PhD,Teacher,5046.16,521
45,Female,Bachelor,Salesperson,6661.73,307
57,Male,PhD,Student,4663.89,454
40,Male,Master,Doctor,5598.36,563
47,Male,Bachelor,Engineer,5459.82,370
51,Male,High School,Doctor,4630.68,595
40,Female,Bachelor,Manager,3236.95,465
48,Male,Bachelor,Salesperson,2839.71,546
59,Male,Bachelor,Accountant,7665.11,339
43,Male,Bachelor,Unemployed,5628.3,317
42,Female,PhD,Engineer,4523.9,431
56,Female,Master,Unemployed,1489.78,536
33,Male,PhD,Manager,6492.53,375
48,Female,Bachelor,Accountant,2875.82,682
30,Female,Master,Doctor,2725.38,614
64,Female,Bachelor,Accountant,4916.77,810
47,Other,Master,Teacher,2801.27,663
40,Female,Bachelor,Accountant,1779.99,371
29,Male,Master,Student,4650.03,706
55,Male,Master,Accountant,3107.51,572
55,Male,Master,Doctor,2221.52,793
52,Male,Bachelor,Teacher,5910.6,771
21,Male,High School,Manager,1809.2,549
26,Female,Master,Driver,4596.78,412
29,Female,Bachelor,Student,3459.68,732
39,Male,Bachelor,Doctor,5187.85,369
60,Male,Master,Teacher,7792.82,802
22,Male,High School,Unemployed,4439.57,748
68,Female,Bachelor,Manager,4668.35,546
42,Female,Bachelor,Engineer,3689.48,507
34,Female,High School,Unemployed,1420.47,568
48,Male,PhD,Unemployed,4533.97,304
37,Male,Master,Doctor,7446.93,421
57,Male,Bachelor,Teacher,4998.17,427
65,Male,Bachelor,Doctor,1600.28,803
68,Male,Bachelor,Unemployed,3415.49,470
40,Female,Bachelor,Doctor,4005.62,756
27,Female,Bachelor,Driver,7157.57,751
58,Male,Master,Driver,3740.97,814
29,Female,Master,Accountant,5159.71,368
40,Male,High School,Accountant,5308.21,324
69,Male,High School,Salesperson,5733.98,353
28,Male,High School,Unemployed,2617.25,582
29,Male,High School,Engineer,6090.27,474
54,Male,Bachelor,Doctor,500.0,760
38,Female,Master,Doctor,3250.36,523
22,Female,Bachelor,Teacher,5050.38,849
64,Female,High School,Teacher,1724.39,577
21,Male,High School,Student,6481.76,587
69,Male,Master,Student,2594.5,640
24,Male,Master,Engineer,1189.5,407
43,Male,High School,Driver,3928.42,615
55,Male,High School,Manager,6320.99,536
37,Female,High School,Accountant,1462.39,500
49,Female,Master,Teacher,6886.58,377
46,Female,Bachelor,Student,500.0,631
62,Male,Bachelor,Doctor,815.71,779
33,Male,Master,Student,5748.35,826
34,Female,PhD,Doctor,1303.69,489
37,Female,Bachelor,Accountant,5845.13,371
37,Male,High School,Unemployed,6837.06,492
64,Male,Bachelor,Manager,500.0,774
29,Female,Bachelor,Driver,7522.38,342
25,Male,Other,Student,3999.37,738
43,Male,PhD,Driver,1815.67,531
69,Female,Bachelor,Doctor,5669.5,720
41,Female,Other,Unemployed,6447.42,822
58,Male,High School,Accountant,1650.32,572
33,Male,PhD,Manager,7026.69,516
24,Female,Other,Accountant,6963.03,812
51,Male,Master,Doctor,8330.11,582
35,Male,Master,Doctor,6381.1,577
19,Female,Master,Salesperson,5191.58,318
35,Female,PhD,Engineer,1965.19,722
38,Male,Bachelor,Salesperson,7983.11,721
50,Female,High School,Teacher,2335.88,802
38,Male,Other,Driver,6205.86,352
27,Female,Bachelor,Driver,7870.64,446
25,Male,High School,Driver,7391.45,626
58,Female,Bachelor,Manager,7794.58,470
60,Male,PhD,Teacher,2075.62,436
45,Male,High School,Driver,5004.89,786
30,Male,High School,Teacher,5023.0,334
43,Female,Master,Accountant,7870.31,739
35,Female,Bachelor,Engineer,4869.54,426
57,Female,Bachelor,Unemployed,4950.86,535
43,Female,Other,Student,6148.37,762
38,Male,Bachelor,Teacher,2165.3,646
62,Male,High School,Engineer,3203.72,836
67,Male,PhD,Unemployed,2776.16,802
52,Male,High School,Doctor,5158.84,520
40,Male,Master,Engineer,500.0,344
23,Female,High School,Accountant,2608.61,508
69,Female,Master,Teacher,2163.75,488
25,Female,Bachelor,Salesperson,500.0,786
40,Male,Bachelor,Accountant,1882.78,674
52,Male,Master,Driver,5642.91,791
31,Male,Other,Driver,4091.23,572
30,Female,Master,Unemployed,4662.97,451
43,Male,Bachelor,Unemployed,4283.53,411
24,Male,Master,Manager,6530.73,300
33,Female,Bachelor,Salesperson,6973.33,682
52,Female,Other,Driver,4946.1,323
40,Female,Bachelor,Unemployed,5874.65,787
49,Other,PhD,Teacher,1128.18,776
42,Male,Other,Engineer,1368.37,639
39,Male,Master,Engineer,3159.77,689
56,Female,Bachelor,Driver,2634.44,564
53,Female,Bachelor,Unemployed,5189.56,431
35,Male,Master,Accountant,4736.32,312
30,Female,Master,Engineer,4554.72,769
18,Female,Bachelor,Salesperson,3955.44,831
55,Other,Other,Student,4470.78,842
34,Male,Master,Manager,1348.41,776
18,Female,Bachelor,Unemployed,4015.76,834
24,Female,Master,Student,3348.78,639
64,Female,High School,Engineer,3234.37,429
50,Female,Master,Driver,3752.54,331
60,Male,Bachelor,Unemployed,2059.75,355
49,Male,Master,Teacher,3204.88,312
40,Male,High School,Accountant,1208.42,429
41,Male,PhD,Manager,5182.7,451
62,Female,Master,Teacher,4417.01,675
61,Male,Bachelor,Salesperson,3680.77,453
63,Other,Bachelor,Teacher,4211.72,607
24,Male,Bachelor,Unemployed,5649.33,763
25,Female,Bachelor,Student,4594.17,600
20,Other,Master,Engineer,7242.45,581
45,Male,High School,Student,5505.36,621
31,Female,Bachelor,Unemployed,1625.07,370
23,Male,Master,Student,3342.11,592
32,Male,Bachelor,Manager,4718.61,771
52,Male,Bachelor,Unemployed,621.09,815
30,Female,Master,Teacher,4386.64,691
68,Female,High School,Teacher,500.0,307
46,Male,Bachelor,Teacher,4712.43,428
55,Female,Master,Student,2804.48,742
45,Male,Master,Accountant,4338.0,356
57,Female,High School,Manager,3549.8,841
27,Male,Other,Doctor,2315.26,341
35,Male,Bachelor,Unemployed,2099.73,549
19,Male,Other,Unemployed,3602.63,487
49,Male,Bachelor,Doctor,2098.18,339
49,Male,Master,Unemployed,4637.04,720
38,Male,High School,Manager,4796.89,583
22,Other,High School,Unemployed,4874.46,499
68,Male,Master,Salesperson,1135.5,580
51,Female,Bachelor,Teacher,2878.91,525
31,Male,Master,Doctor,3514.6,745
66,Male,Bachelor,Engineer,500.0,679
33,Female,Master,Doctor,5589.48,610
21,Female,Bachelor,Salesperson,6159.36,702
35,Male,Bachelor,Driver,914.39,624
49,Female,High School,Unemployed,3678.74,492
66,Male,High School,Accountant,3298.23,520
66,Other,Bachelor,Accountant,1448.41,426
37,Female,Master,Salesperson,706.27,686
38,Male,Bachelor,Unemployed,5209.18,497
30,Male,Master,Driver,3359.07,828
56,Female,Other,Student,4049.53,503
41,Male,Bachelor,Salesperson,4553.16,578
18,Male,Bachelor,Manager,4017.11,664
37,Male,Bachelor,Student,500.0,381
25,Female,Master,Teacher,5182.83,793
52,Female,Bachelor,Student,3880.35,578
55,Male,Master,Student,4987.12,762
34,Male,Master,Student,3500.05,715
20,Male,Other,Engineer,3995.98,624
26,Male,Bachelor,Doctor,3551.24,778
42,Female,Master,Unemployed,6042.2,647
43,Male,High School,Manager,6280.63,472
20,Male,Bachelor,Salesperson,8997.73,842
62,Female,Bachelor,Doctor,1692.53,694
40,Male,Master,Unemployed,2309.74,538
56,Female,High School,Driver,4792.4,524
51,Female,Bachelor,Salesperson,500.0,488
47,Male,High School,Salesperson,3391.7,650
26,Female,Master,Student,2032.55,710
38,Male,Bachelor,Doctor,4974.61,580
55,Female,Bachelor,Salesperson,6143.86,714
67,Male,Bachelor,Unemployed,6077.87,558
64,Female,Bachelor,Salesperson,5061.01,657
28,Male,Bachelor,Unemployed,5103.77,548
65,Female,Master,Unemployed,5360.46,711
50,Female,Bachelor,Driver,5412.52,341
58,Male,High School,Salesperson,2999.9,424
23,Female,Master,Teacher,5275.44,345
41,Male,Bachelor,Engineer,4899.8,783
34,Male,Master,Teacher,6933.75,693
35,Other,PhD,Student,5078.56,754
37,Male,PhD,Engineer,2451.51,624
39,Male,Master,Doctor,3888.31,733
35,Female,Master,Student,3478.46,400
69,Male,Bachelor,Student,1522.87,687
46,Male,Bachelor,Engineer,3769.73,328
67,Female,Bachelor,Doctor,2176.65,374
68,Female,High School,Teacher,3694.23,533
20,Male,Bachelor,Accountant,2500.45,599
40,Male,High School,Teacher,2395.15,682
51,Female,High School,Student,1880.99,707
23,Female,Bachelor,Engineer,2045.32,577
47,Male,Master,Manager,5672.6,627
40,Female,Master,Driver,3520.82,666
49,Male,Bachelor,Salesperson,4017.53,711
60,Male,Bachelor,Student,500.0,349
41,Female,Master,Engineer,4733.0,449
56,Female,Master,Student,1359.62,525
51,Male,Bachelor,Unemployed,3657.52,509
69,Other,Other,Doctor,5385.54,655
63,Female,Master,Accountant,6211.67,363
19,Male,Other,Manager,3618.26,448
18,Male,PhD,Doctor,3603.61,805
20,Female,Master,Unemployed,500.0,838
19,Female,Master,Salesperson,6168.27,753
20,Female,High School,Accountant,4464.43,767
41,Female,Master,Doctor,2648.83,850
63,Female,Master,Accountant,4873.92,604
24,Male,High School,Driver,4220.33,378
50,Female,PhD,Engineer,4904.65,829
50,Female,Master,Unemployed,500.0,699
47,Male,High School,Manager,3525.35,365
45,Female,Bachelor,Student,3015.42,481
48,Male,PhD,Engineer,833.63,324
49,Male,High School,Accountant,4228.95,534
48,Female,Master,Driver,3063.01,663
37,Male,Bachelor,Student,2482.47,422
28,Female,High School,Unemployed,5038.12,374
38,Female,Other,Salesperson,2045.05,670
54,Female,Bachelor,Engineer,10153.72,521
31,Male,Master,Driver,6720.23,513
35,Female,Bachelor,Student,5499.16,678
31,Male,High School,Salesperson,3652.11,604
47,Female,Bachelor,Salesperson,5289.04,663
24,Female,High School,Doctor,5856.49,770
24,Male,Bachelor,Driver,1723.88,623
36,Female,Master,Engineer,4728.96,404
28,Female,High School,Manager,6395.59,743
64,Female,Bachelor,Engineer,6489.43,597
26,Male,Bachelor,Salesperson,6020.32,337
44,Male,Bachelor,Engineer,1578.63,308
66,Female,Bachelor,Unemployed,4385.19,311
42,Male,Other,Doctor,8784.22,659
21,Female,Master,Doctor,6096.97,530
65,Male,Other,Student,4975.55,429
48,Male,Bachelor,Manager,6576.15,569
42,Male,Master,Unemployed,4029.02,361
56,Male,Bachelor,Engineer,5622.78,435
59,Male,Bachelor,Teacher,6757.34,803
46,Female,High School,Student,1459.24,701
61,Male,High School,Unemployed,3122.13,693
29,Male,Master,Student,533.06,403
48,Male,Master,Engineer,4442.99,417
20,Male,Master,Engineer,3960.99,566
58,Female,PhD,Manager,5319.64,622
68,Male,Other,Teacher,6513.55,592
41,Male,High School,Student,3943.28,740
40,Male,PhD,Engineer,4785.27,658
28,Female,Master,Student,4907.17,596
41,Male,Bachelor,Driver,5493.22,426
68,Male,Master,Engineer,4651.16,808
19,Female,High School,Doctor,4655.74,460
34,Male,Master,Doctor,2388.77,574
19,Female,High School,Engineer,2729.18,451
64,Female,Bachelor,Engineer,3917.41,747
51,Male,High School,Manager,2733.43,424
25,Female,High School,Unemployed,5172.16,567
67,Female,Bachelor,Engineer,3847.11,685
60,Female,Master,Doctor,2489.23,370
35,Male,High School,Teacher,1623.7,675
36,Male,Master,Manager,4143.67,591
28,Male,High School,Manager,6139.46,462
46,Female,High School,Driver,4132.31,552
59,Male,Bachelor,Doctor,3037.08,404
29,Male,High School,Student,1193.43,786
54,Male,Bachelor,Manager,3639.64,475
36,Female,Master,Engineer,6742.95,740
58,Male,Bachelor,Manager,4512.34,468
31,Female,Master,Doctor,6386.62,769
33,Female,High School,Teacher,1889.55,487
37,Female,PhD,Engineer,4514.28,839
60,Male,High School,Driver,6924.97,614
22,Male,High School,Accountant,4359.16,686
39,Female,Bachelor,Unemployed,5217.47,731
30,Male,Bachelor,Salesperson,2885.74,598
37,Female,High School,Accountant,5896.84,658
36,Female,High School,Accountant,3049.99,346
42,Male,Bachelor,Driver,7236.18,455
58,Male,High School,Unemployed,2992.44,630
58,Female,PhD,Teacher,1994.83,580
36,Female,Master,Unemployed,3914.3,438
52,Female,Bachelor,Doctor,4430.44,680
21,Female,Master,Unemployed,5533.1,681
26,Female,Master,Engineer,2935.66,567
33,Female,Bachelor,Engineer,4770.95,826
45,Male,Master,Student,7734.78,365
50,Female,Master,Student,6017.96,545
69,Female,Bachelor,Unemployed,4271.13,432
46,Male,Master,Doctor,5457.04,699
30,Male,Bachelor,Unemployed,2260.44,599
50,Male,High School,Doctor,6194.42,701
65,Female,Master,Accountant,3235.15,651
31,Male,Bachelor,Salesperson,4009.16,556
42,Female,Bachelor,Manager,500.0,796
40,Female,High School,Engineer,2776.16,645
56,Male,Master,Teacher,6372.29,727
54,Female,High School,Engineer,7080.65,674
37,Male,Bachelor,Student,2227.36,680
40,Female,High School,Manager,5378.87,577
67,Female,Bachelor,Unemployed,7167.1,650
51,Female,Master,Unemployed,4325.72,491
60,Male,Master,Doctor,2784.86,608
23,Female,Bachelor,Driver,7136.36,655
46,Male,Bachelor,Doctor,539.47,445
65,Female,Bachelor,Driver,6667.77,658
55,Male,PhD,Student,7079.49,322
57,Female,Master,Salesperson,3273.77,312
62,Other,Bachelor,Doctor,500.0,309
48,Male,High School,Accountant,5675.84,655
41,Male,High School,Engineer,4723.52,373
34,Male,High School,Accountant,4639.62,504
64,Male,Bachelor,Salesperson,4418.8,337
43,Male,Master,Accountant,2878.09,748
18,Male,Other,Teacher,2194.62,743
67,Female,Bachelor,Teacher,4678.36,438
55,Female,Other,Teacher,5252.87,838
48,Male,Bachelor,Accountant,3840.18,772
65,Female,Master,Engineer,505.56,414
54,Female,High School,Salesperson,4189.24,674
45,Male,Bachelor,Engineer,2577.39,469
34,Male,Bachelor,Driver,4952.98,477
28,Male,Master,Student,3781.95,433
66,Male,Master,Unemployed,4068.75,389
62,Male,Master,Teacher,3169.36,367
45,Male,Bachelor,Engineer,5503.04,322
18,Male,High School,Engineer,3682.7,716
40,Female,Bachelor,Salesperson,4435.16,566
46,Other,Master,Unemployed,3714.27,354
55,Female,Bachelor,Accountant,621.78,771
58,Female,Bachelor,Teacher,3214.88,547
20,Female,PhD,Student,4422.56,755
21,Female,High School,Teacher,5424.71,499
33,Other,High School,Student,1842.75,414
26,Female,Other,Driver,2084.74,715
56,Male,Master,Accountant,5893.53,789
59,Other,Bachelor,Doctor,5061.79,563
48,Male,Master,Doctor,5716.28,336
48,Female,Master,Accountant,5371.72,577
26,Male,Bachelor,Manager,500.0,503
22,Female,Master,Driver,3049.7,445
56,Male,Master,Student,6347.02,459
33,Male,Bachelor,Accountant,5146.19,328
53,Male,Bachelor,Salesperson,1982.29,528
39,Female,Bachelor,Accountant,6108.07,358
34,Male,High School,Accountant,5401.13,368
47,Male,Bachelor,Teacher,3406.25,821
46,Male,Bachelor,Driver,6350.05,841
28,Male,Master,Accountant,1974.91,780
30,Other,Master,Manager,4447.15,777
48,Female,High School,Unemployed,2751.95,556
19,Male,High School,Student,4229.78,768
36,Female,High School,Salesperson,4551.39,791
19,Female,High School,Doctor,3339.23,369
69,Male,High School,Accountant,4042.35,386
39,Male,Bachelor,Student,4734.2,440
19,Female,Bachelor,Manager,2455.75,680
50,Male,Master,Driver,825.9,780
58,Female,Bachelor,Teacher,3682.92,544
47,Female,High School,Doctor,2163.96,801
64,Male,Master,Engineer,500.0,690
53,Male,Master,Manager,2396.81,531
60,Male,High School,Manager,1049.18,790
57,Female,Bachelor,Teacher,6045.03,782
52,Male,Bachelor,Engineer,6843.17,680
29,Male,Master,Driver,4033.65,542
41,Male,Master,Manager,6039.55,695
68,Male,Master,Salesperson,500.0,770
32,Male,High School,Unemployed,7917.0,457
