Customer_ID,Age,Gender,Country,Education,Occupation,Marital_Status,Monthly_Income,Other_Income,Income_Source,Monthly_Expenses,Monthly_Savings,Emergency_Fund,Savings_Rate,Loan_Amount,Monthly_Loan_Payment,Debt_to_Income_Ratio,Bank_Balance,Mobile_Money_Balance,Number_of_Transactions,Cash_In,Cash_Out,Transfers,Airtime_Purchases,Business_Type,Monthly_Revenue,Monthly_Profit,Supplier_Payments,Invoice_Value,POS_Sales,Investment_Type,Investment_Value,Monthly_Return,Financial_Literacy_Score,Spending_Discipline,Risk_Tolerance,Saving_Consistency,Financial_Goal,Financial_Health_Score,Funding_Readiness,Investment_Readiness,Loan_Default_Risk,Predicted_Savings_12_Months,Predicted_Business_Growth,Budget_Recommendation,Loan_Eligibility,Recommended_Investment,Financial_Risk_Level
20,40,M,Rwanda,Postgraduate,Farmer,Single,769409,208802,Business,406958,541821,747659,0.55,49164,1474,0.0,1891722,387924,79,265512,390303,33,25749,Manufacturing,3322908,1161814,1245593,330447,1988395,Treasury Bills,1795383,99761.6,26,55,Low,33,Business Expansion,40.5,Not Ready,Not Ready,Low,8022442,3.6,Healthy,Decline,Stocks,High
21,55,F,Ghana,Secondary,Trader,Single,1211814,106658,Mixed,983270,112169,767927,0.09,1723380,51701,0.04,946522,322392,197,145303,675797,146,31822,Manufacturing,460848,149117,1163660,543982,227621,Crypto,1740076,24998.43,58,52,Medium,53,Education,40.6,Not Ready,Not Ready,Low,1564620,4.0,Reduce Spending,Decline,Crypto,High
22,48,F,Kenya,Primary,Farmer,Single,758004,235908,Business,581520,281849,255942,0.28,380484,11414,0.01,367362,179283,147,95519,334797,122,24137,Manufacturing,2217260,649230,433922,94228,1801106,Savings,1731331,31655.29,87,46,Medium,68,Business Expansion,52.6,Not Ready,Not Ready,Low,3501515,-3.1,Healthy,Review,Mutual Fund,Medium
23,39,M,Nigeria,Secondary,Civil Servant,Married,105739,66714,Mixed,63416,86865,939205,0.5,1985031,59550,0.35,1232398,256809,5,76690,410539,270,30680,ICT,3816069,475251,238686,948686,1850442,Savings,2190960,169117.47,33,78,High,30,Home,37.4,Not Ready,Not Ready,Medium,1262056,-5.0,Healthy,Decline,Stocks,High
24,26,M,Nigeria,Bachelor,Civil Servant,Married,207538,157469,Salary,233035,93439,406933,0.26,1094217,32826,0.09,469887,414442,158,1207,10969,275,19760,Services,3914553,522910,673448,2713546,3373077,Stocks,1016521,27985.25,50,90,Low,51,Business Expansion,45.0,Not Ready,Not Ready,Low,1439983,16.1,Healthy,Decline,Mutual Fund,High
25,43,M,South Africa,Primary,Nurse,Single,535604,258444,Business,292808,268983,440985,0.34,1519679,45590,0.06,1432446,207805,55,7081,835782,149,48439,Retail,4285226,300950,1049549,850596,2448765,Stocks,813415,2506.04,48,53,Low,57,Home,38.7,Not Ready,Not Ready,Low,4134066,9.9,Healthy,Decline,Stocks,High
26,58,M,Tanzania,Primary,Nurse,Single,357609,217781,Business,217792,122332,412427,0.21,1885935,56578,0.1,1884593,373311,85,768316,118704,40,10854,Services,2811888,301448,1378325,2211160,2278949,Mutual Fund,133771,1495.92,68,67,Medium,62,Business Expansion,45.1,Not Ready,Not Ready,Low,1420574,-4.9,Healthy,Decline,Mutual Fund,High
27,25,F,Tanzania,Diploma,Civil Servant,Married,163300,248231,Business,188334,151566,468029,0.37,809610,24288,0.06,679028,190971,193,940565,497585,15,41396,Services,3496055,434922,1321576,1707739,1476584,Treasury Bills,146189,3860.13,27,52,High,44,Emergency Fund,33.0,Not Ready,Not Ready,Low,1682638,13.2,Healthy,Decline,Mutual Fund,High
28,60,M,Zambia,Secondary,Engineer,Single,197011,12717,Mixed,168686,15394,750330,0.07,1953471,58604,0.28,1629137,202645,69,957920,450822,252,8697,Retail,4215284,442106,1693107,1282194,3593594,Savings,634662,25846.88,61,60,Medium,78,Emergency Fund,39.7,Not Ready,Not Ready,Medium,224173,12.9,Reduce Spending,Decline,Crypto,High
29,54,F,Uganda,Secondary,Teacher,Single,743164,84249,Salary,735686,84245,75670,0.1,1111034,33331,0.04,1310884,44083,58,101106,441513,255,46515,Agriculture,3799398,387377,288776,1758356,2482937,Mutual Fund,2827416,9877.1,88,35,Medium,57,Emergency Fund,41.2,Not Ready,Not Ready,Low,1022827,3.0,Reduce Spending,Decline,Mutual Fund,High
30,32,M,Ghana,Postgraduate,Entrepreneur,Single,744380,33976,Business,441980,334597,531968,0.43,2207498,66224,0.09,486241,340598,30,685062,486450,18,6706,Food,87682,16872,1727782,979360,75608,Mutual Fund,1568150,-25033.65,57,49,Low,35,Home,40.8,Not Ready,Not Ready,Low,3918114,24.2,Healthy,Decline,Crypto,High
31,26,M,Ghana,Bachelor,Civil Servant,Married,1396844,183343,Business,742221,467665,148236,0.3,185247,5557,0.0,428769,133648,14,628540,767797,104,745,Services,2795165,482720,789740,786554,2072775,Mutual Fund,326882,111.39,83,90,Low,81,Business Expansion,60.3,Not Ready,Ready,Low,5967038,18.9,Healthy,Review,Crypto,Medium
32,23,M,Tanzania,Secondary,Farmer,Married,715070,297019,Salary,846138,97887,19097,0.1,1525809,45774,0.05,1352568,103390,105,763396,424645,104,385,Food,3692033,1183256,898678,486218,3142668,Stocks,1703800,64368.82,66,78,Low,40,Home,45.9,Not Ready,Not Ready,Low,1064149,11.5,Reduce Spending,Decline,Savings,High
33,26,M,Nigeria,Postgraduate,Teacher,Married,864750,257168,Business,857656,225812,843799,0.2,827711,24831,0.02,633533,66401,16,957138,506185,161,3497,Retail,3303900,250727,1503822,2611906,2572149,Stocks,672246,29600.63,48,99,High,71,Education,47.8,Not Ready,Not Ready,Low,3356127,19.9,Reduce Spending,Decline,Stocks,High
34,32,F,South Africa,Bachelor,Engineer,Single,146190,294829,Salary,358710,63425,700340,0.14,1359805,40794,0.09,247899,204386,158,477871,576771,156,42534,Agriculture,3573818,509138,532733,1795682,2194562,Mutual Fund,1541197,38035.11,76,42,Low,22,Business Expansion,35.5,Not Ready,Not Ready,Low,873405,9.7,Reduce Spending,Decline,Stocks,High
35,43,M,Uganda,Diploma,Nurse,Married,252336,231718,Salary,303689,137071,42626,0.28,2669410,80082,0.17,274198,43117,192,328965,815410,261,5240,Services,505207,139243,1886673,1594870,383457,Crypto,571204,-9947.15,28,98,Low,34,Retirement,41.2,Not Ready,Not Ready,Low,1566963,21.6,Healthy,Decline,Mutual Fund,High
36,49,F,Ghana,Postgraduate,Civil Servant,Married,361092,133253,Mixed,309568,174417,218442,0.35,2482557,74476,0.15,552273,322891,134,248931,334577,190,2413,Services,1718847,179841,348122,2679975,1572782,Mutual Fund,2850784,36439.96,68,41,Low,53,Business Expansion,40.8,Not Ready,Not Ready,Low,2526896,-3.5,Healthy,Decline,Mutual Fund,High
37,43,F,Nigeria,Bachelor,Teacher,Single,1270812,76648,Salary,738594,508553,463765,0.38,964888,28946,0.02,371684,322633,195,50637,310780,264,16623,Retail,2651076,640954,1835144,2467318,2414209,Treasury Bills,1311344,69899.72,24,48,Medium,39,Emergency Fund,33.6,Not Ready,Not Ready,Low,6996188,8.0,Healthy,Decline,Crypto,High
38,42,F,South Africa,Secondary,Teacher,Single,696986,55764,Salary,480027,183782,433311,0.24,2447757,73432,0.1,632567,308853,39,214102,384024,243,10395,Retail,1180354,64014,1690873,1031683,931429,Crypto,1891014,-19703.48,38,54,Medium,71,Home,35.9,Not Ready,Not Ready,Low,2838007,-3.3,Healthy,Decline,Crypto,High
39,45,M,Zambia,Bachelor,Trader,Married,449352,124606,Salary,251146,302868,110014,0.53,51800,1554,0.0,1285798,288842,173,986626,206840,72,27078,Agriculture,1723680,354177,1357826,2136294,1303409,Treasury Bills,1741661,106830.14,42,85,Low,59,Retirement,51.0,Not Ready,Not Ready,Low,3707491,-3.5,Healthy,Review,Savings,Medium
40,34,M,Tanzania,Bachelor,Farmer,Single,1410607,20351,Business,597849,769702,970119,0.54,2915499,87464,0.06,1978301,443198,72,746255,55084,136,41672,ICT,4695508,1191581,1448087,2204647,4388142,Crypto,1239907,54804.28,47,30,Low,84,Business Expansion,45.6,Not Ready,Not Ready,Low,8940007,22.1,Healthy,Decline,Stocks,High
41,50,M,Ghana,Primary,Entrepreneur,Married,1172787,3345,Salary,966354,127135,759822,0.11,980747,29422,0.03,1197090,463868,83,827538,222262,200,40804,Food,4960123,363778,1920064,729516,2378513,Treasury Bills,112837,-994.17,99,40,Low,64,Business Expansion,45.7,Not Ready,Not Ready,Low,1800683,-4.1,Reduce Spending,Decline,Stocks,High
42,26,F,South Africa,Postgraduate,Civil Servant,Single,577110,107858,Business,316275,119346,995362,0.17,2659913,79797,0.12,184437,432569,197,662214,662971,147,31268,Retail,887829,79723,1670875,2720863,455231,Savings,1338565,18273.53,53,22,Medium,64,Emergency Fund,31.3,Not Ready,Not Ready,Low,1821753,-3.5,Healthy,Decline,Mutual Fund,High
43,26,F,Rwanda,Diploma,Entrepreneur,Single,787253,245860,Mixed,761985,183422,227094,0.18,2996369,89891,0.09,1809246,434021,28,602449,859634,147,11165,Agriculture,3707915,186840,433698,1219363,3037522,Savings,226343,-4428.14,82,32,High,82,Education,42.9,Not Ready,Not Ready,Low,2682455,0.5,Reduce Spending,Decline,Savings,High
44,27,M,Nigeria,Postgraduate,Farmer,Single,1394903,42405,Business,890642,543266,588518,0.38,438547,13156,0.01,1317869,171255,96,99770,420762,202,48838,ICT,772870,136518,1364472,115587,467255,Crypto,1271465,8035.08,89,84,Medium,41,Retirement,56.2,Not Ready,Not Ready,Low,8429080,13.9,Healthy,Review,Savings,Medium
45,30,M,Rwanda,Secondary,Civil Servant,Single,1031310,230056,Salary,919515,164105,242246,0.13,528721,15861,0.01,701561,242230,169,928121,730400,121,33272,Manufacturing,1657037,215820,1592793,2959292,1416084,Stocks,2589279,-11756.79,39,51,High,61,Education,34.2,Not Ready,Not Ready,Low,2183656,-0.2,Reduce Spending,Decline,Mutual Fund,High
46,39,F,Uganda,Secondary,Civil Servant,Single,683702,228024,Business,456411,171423,955674,0.19,448244,13447,0.01,589889,108236,104,486451,35579,6,26150,Manufacturing,3711862,957778,1059596,2662384,2089471,Mutual Fund,92766,-539.78,97,71,High,20,Retirement,50.3,Not Ready,Not Ready,Low,2050727,20.6,Healthy,Review,Crypto,Medium
47,60,F,Ghana,Postgraduate,Teacher,Married,265241,219980,Mixed,234515,145432,747252,0.3,2640795,79223,0.16,329117,131103,113,506193,477306,10,40735,Retail,3483831,715842,1396433,777817,3107479,Mutual Fund,1375956,79554.94,69,82,Low,33,Emergency Fund,47.1,Not Ready,Not Ready,Low,1746037,1.5,Healthy,Decline,Stocks,High
48,41,M,Zambia,Secondary,Teacher,Single,920563,239552,Salary,540090,483031,411558,0.42,2155000,64650,0.06,1600501,488999,36,764523,643828,182,41783,ICT,524948,66005,810769,1686396,227736,Stocks,315348,6892.96,73,100,High,65,Business Expansion,58.2,Not Ready,Not Ready,Low,5831515,1.7,Healthy,Review,Savings,Medium
49,55,M,Rwanda,Bachelor,Engineer,Married,533928,76684,Mixed,332308,207936,858510,0.34,1733449,52003,0.09,982678,154320,199,574900,681162,64,30762,ICT,3025826,862596,493296,1131659,2382263,Treasury Bills,2883380,15440.26,74,43,Low,81,Retirement,50.9,Not Ready,Not Ready,Low,3049609,19.0,Healthy,Review,Mutual Fund,Medium
50,29,F,Kenya,Bachelor,Entrepreneur,Single,695790,201908,Mixed,342368,488429,949806,0.54,1361894,40856,0.05,1645247,494200,40,556424,871710,176,41494,ICT,4935989,268990,34073,889753,4558251,Crypto,2751281,25584.82,97,32,Low,94,Home,56.2,Not Ready,Not Ready,Low,7277608,0.6,Healthy,Review,Savings,Medium
51,55,M,Tanzania,Postgraduate,Engineer,Married,1395036,155736,Business,711112,659095,556579,0.43,329735,9892,0.01,1556902,440024,117,703834,925559,59,36376,Services,1043400,134962,501102,594427,688939,Savings,2337079,-33080.31,79,38,Low,82,Business Expansion,50.6,Not Ready,Not Ready,Low,8694282,11.2,Healthy,Review,Treasury Bills,Medium
52,24,F,Zambia,Bachelor,Farmer,Single,438575,188940,Business,439178,60262,639290,0.1,192393,5771,0.01,1432490,386159,89,847878,98540,261,31730,Services,4115753,1140687,313016,152174,2129280,Mutual Fund,1743117,74130.91,63,32,Medium,66,Business Expansion,39.4,Not Ready,Not Ready,Low,788092,10.8,Healthy,Decline,Stocks,High
53,45,M,Uganda,Postgraduate,Entrepreneur,Single,759865,264109,Mixed,912727,101354,361559,0.1,853672,25610,0.03,1373710,258050,35,346969,201650,162,46739,Food,2560035,225977,1341315,377321,2128204,Crypto,167986,3340.88,90,71,High,89,Business Expansion,53.5,Not Ready,Not Ready,Low,1118802,4.0,Reduce Spending,Review,Treasury Bills,Medium
54,59,M,South Africa,Primary,Entrepreneur,Married,368389,43517,Mixed,192308,168410,480121,0.41,2622604,78678,0.19,1600444,91175,30,695855,190104,18,27628,ICT,893942,289838,1385139,66314,538938,Savings,581732,34120.91,91,53,Low,58,Business Expansion,54.8,Not Ready,Not Ready,Low,2159785,4.6,Healthy,Review,Savings,Medium
55,24,M,South Africa,Primary,Farmer,Single,89633,202974,Mixed,197985,94166,691428,0.32,651358,19540,0.07,998087,403642,110,575464,107000,42,42238,Retail,4011037,455987,328272,2639388,1638675,Mutual Fund,20062,-382.53,35,31,Low,47,Emergency Fund,30.0,Not Ready,Not Ready,Low,1075286,-4.5,Healthy,Decline,Crypto,High
56,51,M,Tanzania,Bachelor,Engineer,Married,1025905,133195,Business,988059,57617,33521,0.05,47819,1434,0.0,127984,7722,171,719993,857046,40,25490,Services,2659382,382282,1268541,706242,2464541,Crypto,2039809,83417.62,60,67,High,93,Retirement,46.2,Not Ready,Not Ready,Low,743597,15.3,Reduce Spending,Decline,Stocks,High
57,38,M,Nigeria,Secondary,Entrepreneur,Single,647007,31791,Business,469739,157978,840889,0.23,2516174,75485,0.11,697338,455898,160,760961,16253,77,39396,Food,2638705,594765,1872531,1042264,1602148,Savings,2872351,50610.8,49,77,High,56,Retirement,44.1,Not Ready,Not Ready,Low,1707440,2.9,Healthy,Decline,Savings,High
58,54,F,South Africa,Secondary,Teacher,Single,238391,283105,Salary,341330,154613,210166,0.3,981602,29448,0.06,650006,318189,19,710580,414707,238,46421,Agriculture,1782969,584456,1239745,49299,1489520,Mutual Fund,1928194,65666.94,88,65,Low,28,Retirement,51.1,Not Ready,Not Ready,Low,1965331,10.6,Healthy,Review,Mutual Fund,Medium
59,56,F,Uganda,Diploma,Engineer,Single,1243697,188162,Business,818121,406326,156247,0.28,1033077,30992,0.02,94521,483717,131,392209,908456,54,24357,Food,3937564,1126947,337480,1334517,2868384,Crypto,1446706,11652.94,97,22,Low,32,Education,44.6,Not Ready,Not Ready,Low,4787450,21.1,Healthy,Decline,Crypto,High
60,36,F,Kenya,Secondary,Farmer,Single,139420,177651,Mixed,146025,72953,87720,0.23,115424,3462,0.01,107949,18250,147,387588,912960,234,31905,Agriculture,588429,181760,1351846,1676802,533814,Stocks,2962757,224961.13,52,60,Low,92,Home,49.5,Not Ready,Not Ready,Low,1012225,23.7,Healthy,Decline,Crypto,High
61,36,F,Ghana,Bachelor,Engineer,Single,798220,31078,Business,702013,118782,877886,0.14,197309,5919,0.01,541862,412286,136,744078,775496,247,3654,Agriculture,897725,83882,1593246,34232,822907,Stocks,2839078,155644.89,95,95,High,76,Home,58.8,Not Ready,Not Ready,Low,1342951,4.7,Reduce Spending,Review,Mutual Fund,Medium
62,49,M,South Africa,Bachelor,Entrepreneur,Single,469162,18880,Business,212945,242906,81565,0.5,2594821,77844,0.16,1818710,195609,196,146551,816122,228,6356,Manufacturing,3280277,992857,1327788,325218,2128189,Savings,1425136,17467.26,49,81,High,34,Education,48.0,Not Ready,Not Ready,Low,3050159,5.0,Healthy,Decline,Treasury Bills,High
63,29,F,Rwanda,Secondary,Trader,Married,113309,142138,Business,169628,43560,843206,0.17,703795,21113,0.08,547669,257429,32,333517,478344,247,7482,Manufacturing,1336552,459221,129229,2656608,1192566,Stocks,2802969,203279.27,91,81,Low,56,Home,56.8,Not Ready,Not Ready,Low,524349,1.0,Healthy,Review,Mutual Fund,Medium
64,38,F,Rwanda,Secondary,Teacher,Single,362726,8403,Mixed,220138,98967,535596,0.27,587804,17634,0.05,930055,1008,139,300306,194847,184,28524,Services,390140,126247,467734,1171181,278652,Stocks,579126,37259.31,86,49,Low,42,Home,48.9,Not Ready,Not Ready,Low,1354178,19.9,Healthy,Decline,Crypto,High
65,24,M,Tanzania,Postgraduate,Trader,Single,1149600,213973,Business,1108022,240568,543643,0.18,1458113,43743,0.03,704006,147722,168,906499,991577,252,5919,ICT,179563,31038,1610086,2009065,84988,Stocks,2791234,18494.59,43,92,Low,66,Retirement,45.7,Not Ready,Not Ready,Low,2786918,6.1,Reduce Spending,Decline,Crypto,High
66,44,F,Nigeria,Postgraduate,Teacher,Married,1268613,32090,Salary,663811,239077,766452,0.18,2075356,62260,0.05,937250,269124,11,556280,843581,275,8806,Services,223541,27509,195778,948261,165530,Treasury Bills,704141,-6853.02,52,91,Low,23,Education,40.3,Not Ready,Not Ready,Low,2692739,16.0,Healthy,Decline,Stocks,High
67,22,M,Tanzania,Bachelor,Teacher,Married,632549,64513,Mixed,422186,195198,798502,0.28,1172823,35184,0.05,231770,63982,36,425355,927400,70,35494,Manufacturing,1957847,603657,318743,2815048,1399983,Crypto,1663512,-5934.91,22,69,High,73,Retirement,41.5,Not Ready,Not Ready,Low,2894916,10.8,Healthy,Decline,Savings,High
68,45,M,Nigeria,Postgraduate,Farmer,Single,1236671,28077,Mixed,668651,240012,713203,0.19,1482350,44470,0.04,523787,456390,113,695330,663423,5,23883,Retail,964571,201826,155257,1370423,615562,Mutual Fund,2117178,99325.37,48,37,Medium,73,Home,37.9,Not Ready,Not Ready,Low,3486794,23.1,Healthy,Decline,Treasury Bills,High
69,53,F,South Africa,Bachelor,Teacher,Married,88662,227379,Business,151749,53820,118535,0.17,1280989,38429,0.12,729872,339487,47,126228,63270,263,17590,Food,758619,144080,1129525,632465,487023,Mutual Fund,2145942,-14727.75,57,72,Medium,93,Emergency Fund,48.6,Not Ready,Not Ready,Low,652069,17.1,Healthy,Decline,Crypto,High
70,50,F,South Africa,Primary,Nurse,Single,1043492,162793,Mixed,442741,407401,197975,0.34,2149368,64481,0.05,1145867,200892,154,415712,12455,180,10636,ICT,2051030,301882,692576,2071111,1124908,Stocks,906561,8658.04,22,40,Low,90,Business Expansion,36.2,Not Ready,Not Ready,Low,5584830,5.4,Healthy,Decline,Treasury Bills,High
71,41,M,Zambia,Bachelor,Farmer,Married,1461406,184787,Business,703220,416553,640424,0.25,1160763,34822,0.02,1723167,439859,137,99668,774652,243,17608,Services,1117640,194368,226754,28135,699340,Savings,2306642,88998.22,83,70,Low,93,Emergency Fund,57.0,Not Ready,Not Ready,Low,5334364,18.5,Healthy,Review,Crypto,Medium
72,55,M,Nigeria,Postgraduate,Engineer,Married,1308687,201589,Mixed,1067026,135073,782004,0.09,2095263,62857,0.04,799331,232800,81,193159,562953,155,9502,Services,3704462,824723,1229666,982815,1660937,Crypto,1384460,17148.88,97,51,Low,61,Emergency Fund,49.4,Not Ready,Not Ready,Low,2089063,21.7,Reduce Spending,Decline,Treasury Bills,High
73,47,F,Ghana,Diploma,Farmer,Married,1145166,271196,Salary,1062148,212896,486799,0.15,1500353,45010,0.03,86379,311804,178,368162,475073,5,44333,Services,622681,129252,217547,1727647,377300,Crypto,1681469,75419.99,93,39,Medium,44,Education,44.5,Not Ready,Not Ready,Low,2796649,8.2,Reduce Spending,Decline,Crypto,High
74,27,M,Rwanda,Diploma,Engineer,Single,1435576,154623,Mixed,1159951,376203,533599,0.24,1765328,52959,0.03,1324515,81998,139,304009,855808,261,13618,Retail,4285302,1362479,874571,775082,1855936,Treasury Bills,2369578,95524.24,65,92,High,100,Education,60.4,Not Ready,Ready,Low,5368323,15.8,Reduce Spending,Review,Treasury Bills,Medium
75,31,F,Kenya,Diploma,Farmer,Single,1104090,290062,Salary,922739,428890,939067,0.31,2229224,66876,0.05,1079640,75349,152,208191,431070,62,9525,Services,1365089,280562,1078473,457306,567834,Treasury Bills,319312,-940.83,86,82,High,79,Emergency Fund,59.5,Not Ready,Not Ready,Low,5518520,19.0,Healthy,Review,Treasury Bills,Medium
